word,The Blair Witch Project,Harry Potter and the Sorcerer s Stone,total
quiet,4,3,7
picks,3,4,7
owl,1,6,7
mouth,4,3,7
middle,6,1,7
lot,5,2,7
lifts,1,6,7
important,4,3,7
hard,5,2,7
funny,3,4,7
forth,5,2,7
five,6,1,7
finger,6,1,7
feel,5,2,7
far,4,3,7
equipment,4,3,7
dead,4,3,7
captain,6,1,7
call,5,2,7
blows,2,5,7
birthday,1,6,7
wont,1,5,6
whos,2,4,6
wheres,5,1,6
waves,1,5,6
wake,1,5,6
trust,2,4,6
took,3,3,6
told,2,4,6
thought,3,3,6
thanks,1,5,6
tall,1,5,6
talking,1,5,6
stone,1,5,6
sticks,5,1,6
sky,2,4,6
shut,3,3,6
set,5,1,6
real,2,4,6
playing,5,1,6
pain,4,2,6
ones,4,2,6
moment,2,4,6
life,3,3,6
leaving,5,1,6
knocked,2,4,6
knock,4,2,6
hope,5,1,6
hit,5,1,6
having,3,3,6
havent,4,2,6
grab,2,4,6
floor,1,5,6
finally,2,4,6
doors,1,5,6
die,5,1,6
dad,2,4,6
business,2,4,6
box,1,5,6
bathroom,1,5,6
area,5,1,6
young,2,3,5
wrong,1,4,5
wow,2,3,5
white,2,3,5
um,4,1,5
true,2,3,5
times,2,3,5
telling,3,2,5
taken,1,4,5
soon,2,3,5
slowly,1,4,5
silence,3,2,5
short,2,3,5
shoot,4,1,5
seven,3,2,5
serious,4,1,5
screams,2,3,5
screaming,1,4,5
relax,4,1,5
pushes,3,2,5
probably,2,3,5
pocket,4,1,5
packed,4,1,5
meet,3,2,5
matter,3,2,5
lights,4,1,5
kill,2,3,5
hurry,1,4,5
hungry,4,1,5
hmm,1,4,5
glares,1,4,5
gate,4,1,5
four,2,3,5
fool,2,3,5
fear,3,2,5
fault,4,1,5
fast,1,4,5
expect,1,4,5
eating,1,4,5
death,2,3,5
damn,4,1,5
cracking,4,1,5
continue,1,4,5
cold,4,1,5
clear,1,4,5
cheers,1,4,5
bundle,4,1,5
breaking,2,3,5
book,4,1,5
bloody,2,3,5
blood,2,3,5
big,4,1,5
alright,4,1,5
zoom,1,3,4
worth,3,1,4
witchcraft,2,2,4
wish,1,3,4
whispering,1,3,4
tries,3,1,4
surprised,1,3,4
sunday,1,3,4
stupid,1,3,4
string,1,3,4
strange,3,1,4
straight,2,2,4
stands,1,3,4
stand,1,3,4
somebody,3,1,4
slightly,1,3,4
sign,1,3,4
shows,2,2,4
shoulder,1,3,4
shirt,3,1,4
shh,3,1,4
seeing,1,3,4
second,3,1,4
save,2,2,4
rising,2,2,4
reaches,1,3,4
quite,2,2,4
places,1,3,4
pass,1,3,4
packs,3,1,4
opening,3,1,4
nope,3,1,4
mountain,2,2,4
moans,3,1,4
means,2,2,4
makes,3,1,4
made,3,1,4
love,3,1,4
lived,1,3,4
listen,2,2,4
learned,3,1,4
late,1,3,4
killed,1,3,4
job,1,3,4
hurt,3,1,4
holy,3,1,4
holds,1,3,4
hold,3,1,4
heres,1,3,4
heads,1,3,4
gloves,3,1,4
ghosts,3,1,4
fall,3,1,4
ended,3,1,4
eh,1,3,4
eerie,2,2,4
drops,1,3,4
couple,3,1,4
corner,1,3,4
change,1,3,4
cart,1,3,4
care,3,1,4
came,3,1,4
brought,2,2,4
broke,2,2,4
breath,2,2,4
breaks,3,1,4
bought,3,1,4
bottle,3,1,4
books,1,3,4
bolt,1,3,4
backs,1,3,4
awe,2,2,4
asleep,2,2,4
asked,2,2,4
arent,1,3,4
aint,3,1,4
actually,3,1,4
wouldnt,2,1,3
worry,1,2,3
working,1,2,3
witches,2,1,3
walls,2,1,3
use,2,1,3
touched,1,2,3
touch,2,1,3
tape,1,2,3
swear,2,1,3
step,1,2,3
speaking,1,2,3
six,1,2,3
sit,2,1,3
shoves,1,2,3
shouldnt,2,1,3
sets,2,1,3
schedule,2,1,3
saw,2,1,3
rear,2,1,3
realize,2,1,3
pumpkin,2,1,3
pitch,1,2,3
part,1,2,3
numerous,1,2,3
number,1,2,3
noticing,1,2,3
notice,2,1,3
noise,1,2,3
moves,1,2,3
miss,1,2,3
mark,1,2,3
lying,2,1,3
losing,2,1,3
leans,1,2,3
joy,1,2,3
island,2,1,3
imagine,1,2,3
horror,1,2,3
helping,1,2,3
hasnt,1,2,3
happening,1,2,3
hang,2,1,3
ghost,1,2,3
forest,1,2,3
footsteps,2,1,3
followed,1,2,3
fires,1,2,3
finished,1,2,3
fingers,2,1,3
filled,1,2,3
field,2,1,3
felt,2,1,3
feeling,2,1,3
fact,2,1,3
essential,1,2,3
drive,1,2,3
disgust,2,1,3
direct,2,1,3
cross,2,1,3
concerned,1,2,3
closer,2,1,3
climbs,1,2,3
climb,2,1,3
carrying,1,2,3
bunch,1,2,3
bring,1,2,3
break,2,1,3
bottom,2,1,3
bless,2,1,3
black,1,2,3
bends,1,2,3
arrives,2,1,3
angry,1,2,3
amount,1,2,3
ago,2,1,3
absolutely,2,1,3
yawns,1,1,2
write,1,1,2
worst,1,1,2
worse,1,1,2
wondered,1,1,2
woke,1,1,2
windows,1,1,2
wed,1,1,2
watching,1,1,2
unknown,1,1,2
tv,1,1,2
turning,1,1,2
tumbling,1,1,2
touching,1,1,2
torn,1,1,2
toast,1,1,2
thrown,1,1,2
throwing,1,1,2
thinks,1,1,2
terrible,1,1,2
tears,1,1,2
tale,1,1,2
suppose,1,1,2
sun,1,1,2
structure,1,1,2
state,1,1,2
starting,1,1,2
started,1,1,2
son,1,1,2
someones,1,1,2
sized,1,1,2
sister,1,1,2
sides,1,1,2
shudders,1,1,2
separate,1,1,2
season,1,1,2
safe,1,1,2
rolls,1,1,2
return,1,1,2
reason,1,1,2
proud,1,1,2
properly,1,1,2
problem,1,1,2
pool,1,1,2
person,1,1,2
nervously,1,1,2
mucus,1,1,2
moving,1,1,2
loudly,1,1,2
lots,1,1,2
looked,1,1,2
lit,1,1,2
line,1,1,2
level,1,1,2
keeps,1,1,2
image,1,1,2
hurrying,1,1,2
hows,1,1,2
hole,1,1,2
history,1,1,2
hearing,1,1,2
harder,1,1,2
happen,1,1,2
hanging,1,1,2
handful,1,1,2
halloween,1,1,2
grow,1,1,2
goat,1,1,2
giving,1,1,2
flames,1,1,2
families,1,1,2
fallen,1,1,2
ends,1,1,2
due,1,1,2
dry,1,1,2
doorstep,1,1,2
directly,1,1,2
devil,1,1,2
depth,1,1,2
deeply,1,1,2
deep,1,1,2
dangling,1,1,2
covered,1,1,2
couldnt,1,1,2
coughs,1,1,2
clothes,1,1,2
clean,1,1,2
child,1,1,2
chair,1,1,2
certain,1,1,2
careful,1,1,2
body,1,1,2
blue,1,1,2
believed,1,1,2
awww,1,1,2
article,1,1,2
arm,1,1,2
apparently,1,1,2
anytime,1,1,2
angrily,1,1,2
anger,1,1,2
amazing,1,1,2
heather,525,0,525
mike,331,0,331
josh,274,0,274
cuts,113,0,113
fucking,95,0,95
shit,52,0,52
fuck,39,0,39
tent,33,0,33
fisherman,23,0,23
god,22,0,22
wanna,16,0,16
video,15,0,15
joshs,15,0,15
blair,15,0,15
guys,14,0,14
gotta,14,0,14
laughing,13,0,13
sounds,12,0,12
ass,12,0,12
rocks,11,0,11
mm,11,0,11
log,11,0,11
jesus,11,0,11
hiking,11,0,11
compass,11,0,11
stream,10,0,10
south,10,0,10
slate,10,0,10
mary,10,0,10
home,10,0,10
dat,10,0,10
cemetery,10,0,10
pack,9,0,9
getting,9,0,9
camp,9,0,9
story,8,0,8
seriously,8,0,8
mikes,8,0,8
kinda,8,0,8
fucked,8,0,8
documentary,8,0,8
check,8,0,8
useless,7,0,7
tree,7,0,7
trail,7,0,7
stuff,7,0,7
pretty,7,0,7
possible,7,0,7
mumbles,7,0,7
men,7,0,7
kids,7,0,7
kidding,7,0,7
hours,7,0,7
guess,7,0,7
darkness,7,0,7
crew,7,0,7
creek,7,0,7
christ,7,0,7
yah,6,0,6
tomorrow,6,0,6
project,6,0,6
muffled,6,0,6
mom,6,0,6
heathers,6,0,6
deer,6,0,6
days,6,0,6
coffin,6,0,6
bound,6,0,6
wet,5,0,5
twigs,5,0,5
trees,5,0,5
shots,5,0,5
river,5,0,5
rest,5,0,5
rain,5,0,5
mikey,5,0,5
gear,5,0,5
games,5,0,5
film,5,0,5
east,5,0,5
dude,5,0,5
crazy,5,0,5
bullshit,5,0,5
beer,5,0,5
bag,5,0,5
anymore,5,0,5
werent,4,0,4
wanted,4,0,4
town,4,0,4
totally,4,0,4
sobs,4,0,4
shhh,4,0,4
piles,4,0,4
pants,4,0,4
meters,4,0,4
kicked,4,0,4
insisted,4,0,4
hike,4,0,4
haunted,4,0,4
filming,4,0,4
cry,4,0,4
cries,4,0,4
cellar,4,0,4
burkittsville,4,0,4
bodies,4,0,4
asshole,4,0,4
america,4,0,4
whispered,3,0,3
washing,3,0,3
walked,3,0,3
used,3,0,3
throw,3,0,3
supposedly,3,0,3
stopped,3,0,3
smart,3,0,3
slime,3,0,3
sixteen,3,0,3
shawl,3,0,3
scream,3,0,3
scotch,3,0,3
scary,3,0,3
rustling,3,0,3
reality,3,0,3
putting,3,0,3
potatoes,3,0,3
pile,3,0,3
panting,3,0,3
movies,3,0,3
motivation,3,0,3
mister,3,0,3
michael,3,0,3
mashed,3,0,3
marys,3,0,3
maryland,3,0,3
mans,3,0,3
louder,3,0,3
loosing,3,0,3
loose,3,0,3
leaf,3,0,3
kiss,3,0,3
hundred,3,0,3
horse,3,0,3
high,3,0,3
fur,3,0,3
footage,3,0,3
excited,3,0,3
ditch,3,0,3
disappeared,3,0,3
diner,3,0,3
defiantly,3,0,3
creepy,3,0,3
confronts,3,0,3
cigarette,3,0,3
chest,3,0,3
campsite,3,0,3
cameras,3,0,3
calm,3,0,3
boots,3,0,3
bitch,3,0,3
babies,3,0,3
anybody,3,0,3
american,3,0,3
alive,3,0,3
yo,2,0,2
yelling,2,0,2
yell,2,0,2
winter,2,0,2
whisper,2,0,2
whatd,2,0,2
west,2,0,2
wandered,2,0,2
various,2,0,2
using,2,0,2
unintelligible,2,0,2
uncool,2,0,2
twenty,2,0,2
tonight,2,0,2
thick,2,0,2
taping,2,0,2
sudden,2,0,2
streams,2,0,2
statement,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
sorts,2,0,2
smokes,2,0,2
sleep,2,0,2
sings,2,0,2
sing,2,0,2
show,2,0,2
shoes,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
seconds,2,0,2
screwed,2,0,2
scouted,2,0,2
salad,2,0,2
row,2,0,2
rocking,2,0,2
road,2,0,2
ripkin,2,0,2
rice,2,0,2
remain,2,0,2
redneck,2,0,2
record,2,0,2
reaching,2,0,2
ran,2,0,2
raisin,2,0,2
punch,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
play,2,0,2
plan,2,0,2
piece,2,0,2
pie,2,0,2
period,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
noises,2,0,2
nights,2,0,2
naive,2,0,2
myth,2,0,2
mouse,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
messing,2,0,2
meatball,2,0,2
lens,2,0,2
learn,2,0,2
laughter,2,0,2
laid,2,0,2
knees,2,0,2
king,2,0,2
kind,2,0,2
kay,2,0,2
joshes,2,0,2
ieee,2,0,2
ice,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
human,2,0,2
hot,2,0,2
hitting,2,0,2
hill,2,0,2
hi,2,0,2
heavy,2,0,2
hate,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
grows,2,0,2
gray,2,0,2
goddamn,2,0,2
gives,2,0,2
gilligan,2,0,2
gathering,2,0,2
fuckin,2,0,2
freaking,2,0,2
following,2,0,2
flashlight,2,0,2
fighting,2,0,2
fight,2,0,2
feels,2,0,2
fart,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
drop,2,0,2
driving,2,0,2
drink,2,0,2
doubles,2,0,2
disappearing,2,0,2
different,2,0,2
deal,2,0,2
danger,2,0,2
cream,2,0,2
crawl,2,0,2
cp,2,0,2
country,2,0,2
compared,2,0,2
community,2,0,2
comforts,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
cabin,2,0,2
branches,2,0,2
blurry,2,0,2
blank,2,0,2
bite,2,0,2
bible,2,0,2
betrayed,2,0,2
babbling,2,0,2
arms,2,0,2
admit,2,0,2
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
yards,1,0,1
writings,1,0,1
wright,1,0,1
wrest,1,0,1
wouldve,1,0,1
wool,1,0,1
womans,1,0,1
wives,1,0,1
wits,1,0,1
witchll,1,0,1
wine,1,0,1
windshield,1,0,1
wildly,1,0,1
weird,1,0,1
weight,1,0,1
weeps,1,0,1
weekend,1,0,1
weeds,1,0,1
weed,1,0,1
weaver,1,0,1
weasel,1,0,1
ways,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
usually,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
unusual,1,0,1
untie,1,0,1
unsnaged,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uncomfortable,1,0,1
uhhms,1,0,1
twilights,1,0,1
twice,1,0,1
truth,1,0,1
trinkets,1,0,1
trick,1,0,1
trembling,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
track,1,0,1
total,1,0,1
tossed,1,0,1
toss,1,0,1
torture,1,0,1
torso,1,0,1
tore,1,0,1
toe,1,0,1
till,1,0,1
tightly,1,0,1
threatened,1,0,1
thinking,1,0,1
thin,1,0,1
thew,1,0,1
theme,1,0,1
thee,1,0,1
terror,1,0,1
terrified,1,0,1
tells,1,0,1
teeth,1,0,1
tastes,1,0,1
tapings,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
suns,1,0,1
stutters,1,0,1
student,1,0,1
stuck,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
strips,1,0,1
strip,1,0,1
stress,1,0,1
strap,1,0,1
stories,1,0,1
stirring,1,0,1
stir,1,0,1
stench,1,0,1
staring,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spite,1,0,1
spirited,1,0,1
spilled,1,0,1
speed,1,0,1
specifically,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
somthin,1,0,1
solid,1,0,1
soft,1,0,1
sob,1,0,1
smoking,1,0,1
smell,1,0,1
smallest,1,0,1
slippery,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
situation,1,0,1
site,1,0,1
shudder,1,0,1
shrinking,1,0,1
showing,1,0,1
shortcuts,1,0,1
shopping,1,0,1
ship,1,0,1
shhhhh,1,0,1
sheriff,1,0,1
share,1,0,1
shanty,1,0,1
shaking,1,0,1
shake,1,0,1
shack,1,0,1
setting,1,0,1
selfish,1,0,1
searched,1,0,1
search,1,0,1
scratched,1,0,1
scientist,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
satisfied,1,0,1
salt,1,0,1
safety,1,0,1
rushed,1,0,1
ruined,1,0,1
rubs,1,0,1
rounds,1,0,1
roots,1,0,1
rolling,1,0,1
roll,1,0,1
robin,1,0,1
roasted,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
remove,1,0,1
religious,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
recorded,1,0,1
recall,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
quit,1,0,1
quick,1,0,1
purpose,1,0,1
pure,1,0,1
punctuality,1,0,1
punching,1,0,1
pull,1,0,1
protruding,1,0,1
profusely,1,0,1
process,1,0,1
pretend,1,0,1
preparing,1,0,1
prepared,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
poor,1,0,1
police,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
planning,1,0,1
piss,1,0,1
pick,1,0,1
phew,1,0,1
persons,1,0,1
personally,1,0,1
permission,1,0,1
paw,1,0,1
patterns,1,0,1
patch,1,0,1
passed,1,0,1
party,1,0,1
parts,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
older,1,0,1
offence,1,0,1
october,1,0,1
oclock,1,0,1
occultic,1,0,1
occult,1,0,1
occasion,1,0,1
obviously,1,0,1
oatmeal,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
ninety,1,0,1
nine,1,0,1
neighbors,1,0,1
necessary,1,0,1
nearby,1,0,1
natural,1,0,1
national,1,0,1
naked,1,0,1
nah,1,0,1
mystified,1,0,1
mustard,1,0,1
mouths,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
missing,1,0,1
millimeter,1,0,1
mess,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
market,1,0,1
marked,1,0,1
marches,1,0,1
mamma,1,0,1
makeup,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loud,1,0,1
looms,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
loaded,1,0,1
listening,1,0,1
lipstick,1,0,1
lift,1,0,1
lie,1,0,1
licking,1,0,1
licked,1,0,1
lemme,1,0,1
legs,1,0,1
legends,1,0,1
legend,1,0,1
laying,1,0,1
layers,1,0,1
laughed,1,0,1
laced,1,0,1
kept,1,0,1
jut,1,0,1
juice,1,0,1
joke,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
jabbing,1,0,1
intestines,1,0,1
interesting,1,0,1
interested,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huh,1,0,1
huddling,1,0,1
hoooo,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
headstones,1,0,1
haunt,1,0,1
hardly,1,0,1
hairy,1,0,1
hairs,1,0,1
guy,1,0,1
gutted,1,0,1
grunt,1,0,1
grocery,1,0,1
greek,1,0,1
graves,1,0,1
gravel,1,0,1
grapple,1,0,1
grandmothers,1,0,1
grace,1,0,1
gotten,1,0,1
gory,1,0,1
gore,1,0,1
goddamned,1,0,1
gleaming,1,0,1
girlfriend,1,0,1
gilligans,1,0,1
gigantic,1,0,1
general,1,0,1
fun,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
friend,1,0,1
freezing,1,0,1
free,1,0,1
freaked,1,0,1
forming,1,0,1
formation,1,0,1
forever,1,0,1
forearm,1,0,1
fogged,1,0,1
flight,1,0,1
flesh,1,0,1
flashlights,1,0,1
flap,1,0,1
flannel,1,0,1
flails,1,0,1
flag,1,0,1
fixes,1,0,1
fishing,1,0,1
fishermen,1,0,1
finishing,1,0,1
finishes,1,0,1
finely,1,0,1
final,1,0,1
filtered,1,0,1
filmmakers,1,0,1
filling,1,0,1
figure,1,0,1
fifteen,1,0,1
fiddling,1,0,1
fends,1,0,1
female,1,0,1
favorite,1,0,1
familiar,1,0,1
fallow,1,0,1
facing,1,0,1
extreme,1,0,1
exists,1,0,1
exhausted,1,0,1
excellent,1,0,1
examine,1,0,1
evidence,1,0,1
everybodys,1,0,1
europe,1,0,1
etched,1,0,1
eof,1,0,1
entranced,1,0,1
entrance,1,0,1
entitled,1,0,1
energy,1,0,1
ending,1,0,1
encounter,1,0,1
eighteenth,1,0,1
ehh,1,0,1
edge,1,0,1
eat,1,0,1
easier,1,0,1
earth,1,0,1
ear,1,0,1
eager,1,0,1
drives,1,0,1
drinking,1,0,1
dollars,1,0,1
dissapeard,1,0,1
disheveled,1,0,1
discovery,1,0,1
dirty,1,0,1
directors,1,0,1
differently,1,0,1
destroyed,1,0,1
desecration,1,0,1
descends,1,0,1
department,1,0,1
deny,1,0,1
deliverance,1,0,1
decoration,1,0,1
decay,1,0,1
dawn,1,0,1
darker,1,0,1
damned,1,0,1
curve,1,0,1
cult,1,0,1
crys,1,0,1
crumpled,1,0,1
crumbling,1,0,1
crudely,1,0,1
crouch,1,0,1
crossed,1,0,1
creepiest,1,0,1
creative,1,0,1
crawling,1,0,1
crack,1,0,1
counts,1,0,1
conversation,1,0,1
control,1,0,1
confusion,1,0,1
confront,1,0,1
confessional,1,0,1
comprised,1,0,1
complete,1,0,1
complement,1,0,1
committed,1,0,1
comment,1,0,1
comfort,1,0,1
collapses,1,0,1
coincidence,1,0,1
clumps,1,0,1
clue,1,0,1
closely,1,0,1
clearing,1,0,1
clamed,1,0,1
clacks,1,0,1
clacker,1,0,1
circling,1,0,1
chunk,1,0,1
children,1,0,1
chew,1,0,1
checking,1,0,1
checked,1,0,1
charts,1,0,1
channel,1,0,1
chance,1,0,1
ceremonial,1,0,1
cemeteries,1,0,1
caught,1,0,1
carries,1,0,1
canvas,1,0,1
calmer,1,0,1
cackle,1,0,1
bust,1,0,1
burning,1,0,1
bump,1,0,1
bugs,1,0,1
brink,1,0,1
brief,1,0,1
breathes,1,0,1
breathe,1,0,1
brave,1,0,1
bordello,1,0,1
boooooooh,1,0,1
bolivia,1,0,1
bodied,1,0,1
bloodletting,1,0,1
bleed,1,0,1
bleating,1,0,1
bleached,1,0,1
bites,1,0,1
belly,1,0,1
belive,1,0,1
beings,1,0,1
beginning,1,0,1
bath,1,0,1
basement,1,0,1
bang,1,0,1
ballerina,1,0,1
autofocuses,1,0,1
attempting,1,0,1
attacks,1,0,1
attacking,1,0,1
asking,1,0,1
apologize,1,0,1
apart,1,0,1
anyway,1,0,1
anyones,1,0,1
anthem,1,0,1
ancient,1,0,1
amusing,1,0,1
alrighty,1,0,1
aloud,1,0,1
allowance,1,0,1
agreed,1,0,1
agree,1,0,1
agitated,1,0,1
act,1,0,1
absurd,1,0,1
absolute,1,0,1
abandoned,1,0,1
heather,0,525,525
mike,0,331,331
josh,0,274,274
cuts,0,113,113
fucking,0,95,95
shit,0,52,52
fuck,0,39,39
tent,0,33,33
fisherman,0,23,23
god,0,22,22
wanna,0,16,16
video,0,15,15
joshs,0,15,15
blair,0,15,15
guys,0,14,14
gotta,0,14,14
laughing,0,13,13
sounds,0,12,12
ass,0,12,12
rocks,0,11,11
mm,0,11,11
log,0,11,11
jesus,0,11,11
hiking,0,11,11
