word,Harry Potter and the Sorcerers Stone,Sabrina the Teenage Witch,total
staircase,8,0,8
runs,8,0,8
robes,8,0,8
red,8,0,8
quickly,8,0,8
pans,8,0,8
nick,8,0,8
longbottom,8,0,8
immediately,8,0,8
forward,8,0,8
dark,8,0,8
trolls,7,0,7
street,7,0,7
reveal,7,0,7
platform,7,0,7
front,7,0,7
flitwick,7,0,7
flies,7,0,7
falls,7,0,7
disappears,7,0,7
crowd,7,0,7
amazed,7,0,7
whistle,6,0,6
throws,6,0,6
smiles,6,0,6
scar,6,0,6
rons,6,0,6
quaffle,6,0,6
past,6,0,6
owl,6,0,6
opens,6,0,6
ollivander,6,0,6
malfoy,6,0,6
lifts,6,0,6
inside,6,0,6
houses,6,0,6
gryffindors,6,0,6
grins,6,0,6
gringotts,6,0,6
goblin,6,0,6
gave,6,0,6
gasps,6,0,6
fire,6,0,6
fat,6,0,6
closet,6,0,6
cloak,6,0,6
catches,6,0,6
albus,6,0,6
afternoon,6,0,6
writing,5,0,5
waves,5,0,5
voldemort,5,0,5
tall,5,0,5
stone,5,0,5
stares,5,0,5
shakes,5,0,5
scores,5,0,5
raises,5,0,5
quietly,5,0,5
norris,5,0,5
normal,5,0,5
nevilles,5,0,5
nearly,5,0,5
meows,5,0,5
light,5,0,5
leading,5,0,5
knowing,5,0,5
johnson,5,0,5
heh,5,0,5
hedwig,5,0,5
group,5,0,5
granger,5,0,5
floor,5,0,5
flint,5,0,5
flashes,5,0,5
filch,5,0,5
father,5,0,5
famous,5,0,5
extended,5,0,5
dursleys,5,0,5
doorway,5,0,5
doors,5,0,5
diagon,5,0,5
cup,5,0,5
club,5,0,5
castle,5,0,5
box,5,0,5
blows,5,0,5
bathroom,5,0,5
alley,5,0,5
words,4,0,4
wingardium,4,0,4
wicked,4,0,4
umbrella,4,0,4
toad,4,0,4
ticket,4,0,4
thank,4,0,4
taking,4,0,4
taken,4,0,4
store,4,0,4
station,4,0,4
standing,4,0,4
snickers,4,0,4
small,4,0,4
slytherins,4,0,4
slowly,4,0,4
sky,4,0,4
shrugs,4,0,4
screaming,4,0,4
scabbers,4,0,4
returns,4,0,4
reading,4,0,4
players,4,0,4
picks,4,0,4
named,4,0,4
mum,4,0,4
mother,4,0,4
moment,4,0,4
magically,4,0,4
madam,4,0,4
london,4,0,4
lands,4,0,4
lady,4,0,4
known,4,0,4
knocked,4,0,4
kitchen,4,0,4
keeper,4,0,4
including,4,0,4
hurry,4,0,4
hoops,4,0,4
hits,4,0,4
headless,4,0,4
handle,4,0,4
gun,4,0,4
gulps,4,0,4
grounds,4,0,4
griphook,4,0,4
grab,4,0,4
glares,4,0,4
forehead,4,0,4
flick,4,0,4
eating,4,0,4
dursley,4,0,4
dudleys,4,0,4
dragon,4,0,4
desk,4,0,4
dad,4,0,4
curious,4,0,4
cracks,4,0,4
continues,4,0,4
continue,4,0,4
common,4,0,4
cheers,4,0,4
cheering,4,0,4
cheer,4,0,4
cauldron,4,0,4
business,4,0,4
brick,4,0,4
bludger,4,0,4
bat,4,0,4
baby,4,0,4
approach,4,0,4
zoom,3,0,3
zoo,3,0,3
yellow,3,0,3
wrist,3,0,3
wonder,3,0,3
wizards,3,0,3
wizardry,3,0,3
wing,3,0,3
whispering,3,0,3
view,3,0,3
vast,3,0,3
uncle,3,0,3
took,3,0,3
tom,3,0,3
throat,3,0,3
thirty,3,0,3
teacher,3,0,3
teach,3,0,3
tch,3,0,3
swish,3,0,3
swipes,3,0,3
surprised,3,0,3
sunday,3,0,3
string,3,0,3
stool,3,0,3
stands,3,0,3
stalls,3,0,3
staircases,3,0,3
sorted,3,0,3
soars,3,0,3
snapes,3,0,3
smacks,3,0,3
slightly,3,0,3
slams,3,0,3
sink,3,0,3
silent,3,0,3
sign,3,0,3
sighs,3,0,3
shut,3,0,3
shoulder,3,0,3
shoots,3,0,3
shadow,3,0,3
seemingly,3,0,3
scene,3,0,3
scared,3,0,3
saying,3,0,3
rises,3,0,3
rips,3,0,3
remembrall,3,0,3
reads,3,0,3
reaches,3,0,3
raps,3,0,3
quiet,3,0,3
potions,3,0,3
post,3,0,3
possession,3,0,3
plaque,3,0,3
places,3,0,3
pay,3,0,3
pass,3,0,3
panic,3,0,3
package,3,0,3
nicholas,3,0,3
muggles,3,0,3
muggle,3,0,3
mouth,3,0,3
model,3,0,3
living,3,0,3
lived,3,0,3
lightning,3,0,3
leviosa,3,0,3
letterbox,3,0,3
leg,3,0,3
leaky,3,0,3
leads,3,0,3
killed,3,0,3
kill,3,0,3
keys,3,0,3
key,3,0,3
hufflepuff,3,0,3
hospital,3,0,3
hoo,3,0,3
holds,3,0,3
holding,3,0,3
hears,3,0,3
heads,3,0,3
headed,3,0,3
guarding,3,0,3
guard,3,0,3
growls,3,0,3
golden,3,0,3
goblins,3,0,3
glows,3,0,3
glasses,3,0,3
gestures,3,0,3
fool,3,0,3
flash,3,0,3
fireplace,3,0,3
fell,3,0,3
feathers,3,0,3
equipment,3,0,3
enclosure,3,0,3
em,3,0,3
eh,3,0,3
dungeon,3,0,3
drops,3,0,3
dormitories,3,0,3
dirt,3,0,3
died,3,0,3
death,3,0,3
dead,3,0,3
cupboard,3,0,3
crashing,3,0,3
crash,3,0,3
courtyard,3,0,3
corner,3,0,3
clever,3,0,3
clears,3,0,3
classroom,3,0,3
chocolate,3,0,3
causing,3,0,3
cart,3,0,3
cage,3,0,3
buy,3,0,3
brooms,3,0,3
breaking,3,0,3
bowl,3,0,3
bolt,3,0,3
bloody,3,0,3
blood,3,0,3
beaters,3,0,3
bank,3,0,3
balls,3,0,3
backs,3,0,3
zaps,2,0,2
yesterday,2,0,2
yay,2,0,2
ya,2,0,2
wrapped,2,0,2
wormwood,2,0,2
whooa,2,0,2
whoo,2,0,2
whips,2,0,2
whacks,2,0,2
wearing,2,0,2
wavers,2,0,2
watches,2,0,2
wanting,2,0,2
wands,2,0,2
visibly,2,0,2
vanished,2,0,2
upwards,2,0,2
upset,2,0,2
uniform,2,0,2
ugly,2,0,2
trunk,2,0,2
trolley,2,0,2
tried,2,0,2
transitioning,2,0,2
touched,2,0,2
thumps,2,0,2
teams,2,0,2
teachers,2,0,2
taps,2,0,2
tape,2,0,2
tables,2,0,2
tabby,2,0,2
sweets,2,0,2
strictly,2,0,2
streets,2,0,2
straight,2,0,2
stormy,2,0,2
stomach,2,0,2
steps,2,0,2
step,2,0,2
statue,2,0,2
standard,2,0,2
stall,2,0,2
spooky,2,0,2
spear,2,0,2
speaking,2,0,2
speak,2,0,2
spark,2,0,2
sofa,2,0,2
smoke,2,0,2
smeltings,2,0,2
smashes,2,0,2
six,2,0,2
silence,2,0,2
shriek,2,0,2
shows,2,0,2
shoves,2,0,2
shooting,2,0,2
shiny,2,0,2
seven,2,0,2
seats,2,0,2
seat,2,0,2
screen,2,0,2
screeches,2,0,2
scatter,2,0,2
rushing,2,0,2
rushes,2,0,2
rum,2,0,2
rubeus,2,0,2
round,2,0,2
rising,2,0,2
riding,2,0,2
revealed,2,0,2
repeatedly,2,0,2
relief,2,0,2
rd,2,0,2
railing,2,0,2
rabbit,2,0,2
quirrells,2,0,2
pushes,2,0,2
privet,2,0,2
presents,2,0,2
pouring,2,0,2
potters,2,0,2
positions,2,0,2
pops,2,0,2
pointing,2,0,2
pleased,2,0,2
pity,2,0,2
pitch,2,0,2
perched,2,0,2
passes,2,0,2
part,2,0,2
parcels,2,0,2
pain,2,0,2
ought,2,0,2
opinion,2,0,2
ooh,2,0,2
ollivanders,2,0,2
numerous,2,0,2
noticing,2,0,2
note,2,0,2
noise,2,0,2
nimbus,2,0,2
nighttime,2,0,2
mummy,2,0,2
ms,2,0,2
mountain,2,0,2
mount,2,0,2
monkshood,2,0,2
misunderstood,2,0,2
mistake,2,0,2
millions,2,0,2
lurches,2,0,2
lovely,2,0,2
lock,2,0,2
list,2,0,2
limping,2,0,2
lily,2,0,2
lighting,2,0,2
lifted,2,0,2
leviosar,2,0,2
leans,2,0,2
lamp,2,0,2
knocks,2,0,2
knocking,2,0,2
knock,2,0,2
joy,2,0,2
jinxing,2,0,2
insulted,2,0,2
ink,2,0,2
imagine,2,0,2
iguana,2,0,2
hum,2,0,2
huge,2,0,2
hovers,2,0,2
horror,2,0,2
honestly,2,0,2
hermiones,2,0,2
harp,2,0,2
hallway,2,0,2
haired,2,0,2
hah,2,0,2
hadnt,2,0,2
grin,2,0,2
grey,2,0,2
green,2,0,2
goons,2,0,2
ghost,2,0,2
gather,2,0,2
frog,2,0,2
freaks,2,0,2
forth,2,0,2
forest,2,0,2
foolish,2,0,2
follows,2,0,2
followed,2,0,2
flavour,2,0,2
fires,2,0,2
finished,2,0,2
filled,2,0,2
filchs,2,0,2
fear,2,0,2
fancies,2,0,2
fame,2,0,2
eyebrows,2,0,2
express,2,0,2
explosion,2,0,2
explain,2,0,2
exit,2,0,2
exhibit,2,0,2
ew,2,0,2
evil,2,0,2
essential,2,0,2
enunciate,2,0,2
enters,2,0,2
enter,2,0,2
empty,2,0,2
emerges,2,0,2
eerie,2,0,2
dumbledores,2,0,2
dressed,2,0,2
draws,2,0,2
drawn,2,0,2
dracos,2,0,2
dives,2,0,2
direction,2,0,2
ding,2,0,2
difficult,2,0,2
curse,2,0,2
crying,2,0,2
crowded,2,0,2
counter,2,0,2
corridors,2,0,2
confused,2,0,2
concerned,2,0,2
compartment,2,0,2
coins,2,0,2
coffee,2,0,2
climbs,2,0,2
clearly,2,0,2
classmates,2,0,2
cheek,2,0,2
checks,2,0,2
chasers,2,0,2
charred,2,0,2
ceiling,2,0,2
causes,2,0,2
carrying,2,0,2
card,2,0,2
busy,2,0,2
bundles,2,0,2
bucking,2,0,2
brought,2,0,2
brother,2,0,2
broken,2,0,2
bring,2,0,2
bridge,2,0,2
breakfast,2,0,2
boxes,2,0,2
bout,2,0,2
boats,2,0,2
bludgers,2,0,2
blown,2,0,2
blocks,2,0,2
blimey,2,0,2
blasted,2,0,2
black,2,0,2
bits,2,0,2
binoculars,2,0,2
bezoar,2,0,2
bends,2,0,2
bedroom,2,0,2
beasts,2,0,2
beard,2,0,2
bats,2,0,2
baron,2,0,2
bangs,2,0,2
bacon,2,0,2
awe,2,0,2
awarded,2,0,2
asphodel,2,0,2
asleep,2,0,2
arts,2,0,2
approaches,2,0,2
appear,2,0,2
angry,2,0,2
amount,2,0,2
amazement,2,0,2
alohomora,2,0,2
aisle,2,0,2
aiming,2,0,2
ahhhh,2,0,2
ahhh,2,0,2
agreement,2,0,2
aerial,2,0,2
adds,2,0,2
address,2,0,2
zips,1,0,1
yourselfs,1,0,1
youngest,1,0,1
yelp,1,0,1
yawns,1,0,1
wrote,1,0,1
write,1,0,1
wriggling,1,0,1
wretch,1,0,1
worst,1,0,1
worse,1,0,1
works,1,0,1
woods,1,0,1
wonderful,1,0,1
wondered,1,0,1
wolfsbane,1,0,1
wolfbane,1,0,1
woke,1,0,1
wizarding,1,0,1
withdrawal,1,0,1
wishing,1,0,1
wishes,1,0,1
wise,1,0,1
wiping,1,0,1
wipes,1,0,1
wings,1,0,1
wingardrium,1,0,1
wingard,1,0,1
winery,1,0,1
windowsill,1,0,1
windows,1,0,1
winces,1,0,1
whooaaa,1,0,1
whod,1,0,1
whoaa,1,0,1
whizzing,1,0,1
whispers,1,0,1
whirring,1,0,1
whimpers,1,0,1
whilst,1,0,1
whew,1,0,1
whelk,1,0,1
whatre,1,0,1
whacked,1,0,1
wed,1,0,1
weaves,1,0,1
wear,1,0,1
weak,1,0,1
waving,1,0,1
wave,1,0,1
warning,1,0,1
walnut,1,0,1
walls,1,0,1
wakes,1,0,1
waistcoat,1,0,1
wager,1,0,1
voldemorts,1,0,1
voice,1,0,1
vo,1,0,1
versus,1,0,1
vernons,1,0,1
vent,1,0,1
vaults,1,0,1
vase,1,0,1
vanishing,1,0,1
vanishes,1,0,1
vanish,1,0,1
vampire,1,0,1
utter,1,0,1
usual,1,0,1
upstairs,1,0,1
upside,1,0,1
unwrapping,1,0,1
unpleasantly,1,0,1
unlocks,1,0,1
unknown,1,0,1
underneath,1,0,1
underground,1,0,1
uncontrollably,1,0,1
uncontrolably,1,0,1
unconscious,1,0,1
tyke,1,0,1
twirls,1,0,1
twirling,1,0,1
twin,1,0,1
tv,1,0,1
turning,1,0,1
turban,1,0,1
tumbling,1,0,1
tube,1,0,1
tubby,1,0,1
trousers,1,0,1
trophy,1,0,1
troolll,1,0,1
triumphs,1,0,1
tripe,1,0,1
trio,1,0,1
tricks,1,0,1
trevor,1,0,1
travelling,1,0,1
trapped,1,0,1
trap,1,0,1
transforms,1,0,1
transfigure,1,0,1
transfiguration,1,0,1
trains,1,0,1
towers,1,0,1
touching,1,0,1
touches,1,0,1
touch,1,0,1
tossing,1,0,1
tosses,1,0,1
torn,1,0,1
torch,1,0,1
topples,1,0,1
todays,1,0,1
toast,1,0,1
title,1,0,1
tired,1,0,1
tiny,1,0,1
tight,1,0,1
thw,1,0,1
thunks,1,0,1
thunder,1,0,1
thumping,1,0,1
thugs,1,0,1
threateningly,1,0,1
thread,1,0,1
thousands,1,0,1
thoughtful,1,0,1
thirst,1,0,1
theyll,1,0,1
terrorize,1,0,1
term,1,0,1
tenses,1,0,1
teammates,1,0,1
teaching,1,0,1
tattered,1,0,1
taste,1,0,1
talked,1,0,1
talent,1,0,1
tale,1,0,1
taint,1,0,1
sync,1,0,1
swore,1,0,1
swooping,1,0,1
switching,1,0,1
swishing,1,0,1
swishes,1,0,1
sweared,1,0,1
suspicously,1,0,1
surrey,1,0,1
surprisingly,1,0,1
suppose,1,0,1
supports,1,0,1
support,1,0,1
supplies,1,0,1
sunshine,1,0,1
sun,1,0,1
summer,1,0,1
sullenly,1,0,1
succeeds,1,0,1
subtle,1,0,1
stumped,1,0,1
stuffs,1,0,1
structures,1,0,1
structure,1,0,1
stroking,1,0,1
strength,1,0,1
strategize,1,0,1
straightens,1,0,1
stopping,1,0,1
stopper,1,0,1
stood,1,0,1
sticks,1,0,1
stepping,1,0,1
steaming,1,0,1
steady,1,0,1
stature,1,0,1
state,1,0,1
startling,1,0,1
squirming,1,0,1
squeeze,1,0,1
squeaks,1,0,1
sputtering,1,0,1
spots,1,0,1
spot,1,0,1
splendid,1,0,1
spinach,1,0,1
speeding,1,0,1
spectacles,1,0,1
speaks,1,0,1
sparks,1,0,1
source,1,0,1
soup,1,0,1
sound,1,0,1
soul,1,0,1
sooner,1,0,1
son,1,0,1
someones,1,0,1
sold,1,0,1
softly,1,0,1
softens,1,0,1
soaring,1,0,1
soar,1,0,1
snowy,1,0,1
snorts,1,0,1
sniffs,1,0,1
sniffling,1,0,1
sniffles,1,0,1
snicker,1,0,1
snarls,1,0,1
smugly,1,0,1
smoldering,1,0,1
smirks,1,0,1
smirk,1,0,1
smiling,1,0,1
smeltona,1,0,1
smashing,1,0,1
smash,1,0,1
smartest,1,0,1
slivers,1,0,1
slip,1,0,1
sliding,1,0,1
slides,1,0,1
sleeps,1,0,1
skyrockets,1,0,1
skin,1,0,1
skills,1,0,1
skids,1,0,1
sized,1,0,1
size,1,0,1
sit,1,0,1
sinister,1,0,1
single,1,0,1
simple,1,0,1
silvery,1,0,1
sillllleeennnnceeeee,1,0,1
signals,1,0,1
sighing,1,0,1
sides,1,0,1
shy,1,0,1
shutting,1,0,1
shuts,1,0,1
shudders,1,0,1
shrieks,1,0,1
shops,1,0,1
shoot,1,0,1
shoo,1,0,1
shock,1,0,1
shirt,1,0,1
shining,1,0,1
shift,1,0,1
shelves,1,0,1
sheer,1,0,1
shed,1,0,1
shatters,1,0,1
sharp,1,0,1
shaped,1,0,1
severus,1,0,1
seventh,1,0,1
sets,1,0,1
serving,1,0,1
sentinel,1,0,1
senses,1,0,1
select,1,0,1
seekers,1,0,1
second,1,0,1
season,1,0,1
seal,1,0,1
sea,1,0,1
screeching,1,0,1
scratches,1,0,1
scoops,1,0,1
scoffs,1,0,1
science,1,0,1
schedule,1,0,1
scars,1,0,1
scandal,1,0,1
saunters,1,0,1
sat,1,0,1
sandwiches,1,0,1
sailing,1,0,1
safer,1,0,1
saaa,1,0,1
sa,1,0,1
rush,1,0,1
rumours,1,0,1
rumbling,1,0,1
rudimentary,1,0,1
rubbish,1,0,1
rows,1,0,1
rotten,1,0,1
ronald,1,0,1
rolls,1,0,1
rock,1,0,1
robe,1,0,1
roar,1,0,1
reveals,1,0,1
return,1,0,1
restrains,1,0,1
resides,1,0,1
residents,1,0,1
require,1,0,1
request,1,0,1
reptile,1,0,1
reparo,1,0,1
repairing,1,0,1
remind,1,0,1
remaining,1,0,1
releases,1,0,1
released,1,0,1
refuses,1,0,1
redhead,1,0,1
recovered,1,0,1
recognizing,1,0,1
reckon,1,0,1
receives,1,0,1
reattaches,1,0,1
rear,1,0,1
realize,1,0,1
ravenclaws,1,0,1
ravenclaw,1,0,1
rational,1,0,1
rams,1,0,1
railings,1,0,1
ragged,1,0,1
rafters,1,0,1
racing,1,0,1
quills,1,0,1
quill,1,0,1
questionably,1,0,1
pushing,1,0,1
pushed,1,0,1
punctuating,1,0,1
pumpkin,1,0,1
pub,1,0,1
prune,1,0,1
proven,1,0,1
prove,1,0,1
proudly,1,0,1
proudest,1,0,1
proud,1,0,1
promises,1,0,1
progressing,1,0,1
professors,1,0,1
proceeding,1,0,1
problems,1,0,1
priorities,1,0,1
presume,1,0,1
pressure,1,0,1
presses,1,0,1
press,1,0,1
preoccupied,1,0,1
prefer,1,0,1
prefects,1,0,1
predisposition,1,0,1
practicing,1,0,1
powerful,1,0,1
powdered,1,0,1
pounds,1,0,1
postcard,1,0,1
possess,1,0,1
posing,1,0,1
portraits,1,0,1
poisons,1,0,1
pocketwatch,1,0,1
pocket,1,0,1
plummets,1,0,1
plugging,1,0,1
plenty,1,0,1
pleasure,1,0,1
played,1,0,1
platforms,1,0,1
plates,1,0,1
plant,1,0,1
plank,1,0,1
placing,1,0,1
placed,1,0,1
pjs,1,0,1
pitiful,1,0,1
pink,1,0,1
pieces,1,0,1
pictures,1,0,1
photograph,1,0,1
phoenix,1,0,1
pewter,1,0,1
petunias,1,0,1
pets,1,0,1
person,1,0,1
peppermint,1,0,1
penguin,1,0,1
