word,Halloweentown,Harry Potter and the Sorcerer s Stone,total
havent,6,2,8
gone,2,6,8
front,1,7,8
eye,3,5,8
dog,3,5,8
book,7,1,8
best,2,6,8
actually,7,1,8
youll,1,6,7
working,5,2,7
weve,6,1,7
wasnt,4,3,7
trust,3,4,7
talk,6,1,7
save,5,2,7
presents,5,2,7
past,1,6,7
part,5,2,7
ow,5,2,7
minute,5,2,7
left,1,6,7
kitchen,3,4,7
join,3,4,7
inside,1,6,7
hoo,4,3,7
heard,1,6,7
hear,6,1,7
gave,1,6,7
gasps,1,6,7
fly,1,6,7
finally,3,4,7
dad,3,4,7
creatures,6,1,7
baby,3,4,7
young,3,3,6
youd,3,3,6
whispering,3,3,6
went,1,5,6
use,5,1,6
tried,4,2,6
told,2,4,6
today,2,4,6
times,3,3,6
spells,4,2,6
special,5,1,6
shadow,3,3,6
seen,1,5,6
screams,3,3,6
screaming,2,4,6
quite,4,2,6
probably,3,3,6
panic,3,3,6
number,4,2,6
moment,2,4,6
made,5,1,6
locked,1,5,6
late,3,3,6
important,3,3,6
hell,1,5,6
happy,2,4,6
handle,2,4,6
ghosts,5,1,6
funny,2,4,6
friends,3,3,6
found,3,3,6
eh,3,3,6
cool,5,1,6
cookie,5,1,6
continue,2,4,6
careful,5,1,6
call,4,2,6
bring,4,2,6
box,1,5,6
works,4,1,5
wish,2,3,5
turned,4,1,5
ticket,1,4,5
teach,2,3,5
taking,1,4,5
taken,1,4,5
supposed,3,2,5
suppose,4,1,5
store,1,4,5
standing,1,4,5
sky,1,4,5
sister,4,1,5
shut,2,3,5
seeing,2,3,5
return,4,1,5
reading,1,4,5
read,2,3,5
mouth,2,3,5
making,1,4,5
lot,3,2,5
lost,3,2,5
lady,1,4,5
knows,1,4,5
itll,2,3,5
idea,4,1,5
headless,1,4,5
having,2,3,5
happening,3,2,5
happened,1,4,5
half,2,3,5
goblins,2,3,5
full,1,4,5
flying,1,4,5
feel,3,2,5
fast,1,4,5
far,2,3,5
everybody,4,1,5
em,2,3,5
eating,1,4,5
drive,3,2,5
dead,2,3,5
continues,1,4,5
clear,1,4,5
cheering,1,4,5
cauldron,1,4,5
catch,2,3,5
business,1,4,5
brother,3,2,5
brooms,2,3,5
bell,4,1,5
ask,3,2,5
yay,2,2,4
waiting,2,2,4
top,1,3,4
tired,3,1,4
telling,2,2,4
stupid,1,3,4
stand,1,3,4
slams,1,3,4
simple,3,1,4
short,1,3,4
serious,3,1,4
screeching,3,1,4
saying,1,3,4
round,2,2,4
reason,3,1,4
quiet,1,3,4
perfect,2,2,4
ones,2,2,4
mistake,2,2,4
miss,2,2,4
mine,3,1,4
midnight,3,1,4
lock,2,2,4
lived,1,3,4
lit,3,1,4
hurt,3,1,4
hold,3,1,4
heres,1,3,4
heads,1,3,4
hard,2,2,4
food,1,3,4
fell,1,3,4
fear,2,2,4
ew,2,2,4
dumb,3,1,4
dressed,2,2,4
decided,3,1,4
death,1,3,4
crashing,1,3,4
chocolate,1,3,4
care,3,1,4
buy,1,3,4
button,3,1,4
bunch,2,2,4
brew,3,1,4
breaking,1,3,4
bowl,1,3,4
books,1,3,4
bed,3,1,4
asleep,2,2,4
arent,1,3,4
appreciate,3,1,4
ago,3,1,4
afraid,3,1,4
wouldnt,2,1,3
worst,2,1,3
wonderful,2,1,3
wondered,2,1,3
win,1,2,3
wheres,2,1,3
vampire,2,1,3
upset,1,2,3
ugly,1,2,3
tv,2,1,3
thinks,2,1,3
sweet,2,1,3
streets,1,2,3
stopping,2,1,3
stomach,1,2,3
step,1,2,3
started,2,1,3
speaking,1,2,3
speak,1,2,3
six,1,2,3
sit,2,1,3
silly,1,2,3
sick,2,1,3
shows,1,2,3
shh,2,1,3
secret,1,2,3
schedule,2,1,3
rumbling,2,1,3
ready,1,2,3
pumpkin,2,1,3
pouring,1,2,3
plenty,2,1,3
pain,1,2,3
ought,1,2,3
needs,2,1,3
moving,2,1,3
met,2,1,3
meet,1,2,3
means,1,2,3
mark,1,2,3
lovely,1,2,3
losing,2,1,3
lose,2,1,3
line,2,1,3
keeps,2,1,3
hum,1,2,3
huge,1,2,3
hope,2,1,3
hed,1,2,3
hasnt,1,2,3
happen,2,1,3
hang,2,1,3
grunting,2,1,3
goodness,2,1,3
frog,1,2,3
forgotten,1,2,3
foolish,1,2,3
follows,1,2,3
followed,1,2,3
fit,1,2,3
fact,2,1,3
explain,1,2,3
expected,1,2,3
disappear,2,1,3
daughter,2,1,3
couple,2,1,3
couldnt,2,1,3
child,2,1,3
chicken,2,1,3
chatter,2,1,3
causes,1,2,3
cause,2,1,3
buying,2,1,3
busy,1,2,3
brought,1,2,3
broken,1,2,3
breakfast,1,2,3
break,2,1,3
born,2,1,3
boring,2,1,3
blowing,2,1,3
aint,2,1,3
write,1,1,2
worked,1,1,2
woods,1,1,2
upstairs,1,1,2
unless,1,1,2
turning,1,1,2
tricks,1,1,2
trap,1,1,2
touch,1,1,2
title,1,1,2
tight,1,1,2
terrible,1,1,2
taste,1,1,2
talked,1,1,2
swear,1,1,2
stuffs,1,1,2
strange,1,1,2
sound,1,1,2
shot,1,1,2
shelves,1,1,2
shed,1,1,2
set,1,1,2
separate,1,1,2
second,1,1,2
sea,1,1,2
saw,1,1,2
saving,1,1,2
safe,1,1,2
rush,1,1,2
rule,1,1,2
residents,1,1,2
pushed,1,1,2
proud,1,1,2
properly,1,1,2
problems,1,1,2
problem,1,1,2
prefer,1,1,2
point,1,1,2
playing,1,1,2
person,1,1,2
moved,1,1,2
motorcycle,1,1,2
miserable,1,1,2
metallic,1,1,2
love,1,1,2
liver,1,1,2
lights,1,1,2
leaving,1,1,2
knee,1,1,2
kinds,1,1,2
joins,1,1,2
instead,1,1,2
instant,1,1,2
impossible,1,1,2
hungry,1,1,2
hows,1,1,2
hit,1,1,2
hide,1,1,2
hanging,1,1,2
handful,1,1,2
grown,1,1,2
growing,1,1,2
grow,1,1,2
grip,1,1,2
glory,1,1,2
giving,1,1,2
gang,1,1,2
freak,1,1,2
forget,1,1,2
field,1,1,2
felt,1,1,2
feeling,1,1,2
fall,1,1,2
faces,1,1,2
everyones,1,1,2
evening,1,1,2
enjoy,1,1,2
ends,1,1,2
earlier,1,1,2
dropping,1,1,2
dress,1,1,2
dogs,1,1,2
distance,1,1,2
decide,1,1,2
dears,1,1,2
darling,1,1,2
cross,1,1,2
cook,1,1,2
closed,1,1,2
chattering,1,1,2
chaos,1,1,2
certain,1,1,2
century,1,1,2
bringing,1,1,2
boo,1,1,2
bones,1,1,2
body,1,1,2
blue,1,1,2
bitten,1,1,2
belong,1,1,2
battle,1,1,2
baked,1,1,2
awake,1,1,2
audience,1,1,2
amazing,1,1,2
added,1,1,2
absolutely,1,1,2
grandma,56,0,56
marnie,36,0,36
mom,31,0,31
sophie,20,0,20
ok,20,0,20
bus,20,0,20
bet,18,0,18
kids,17,0,17
halloweentown,17,0,17
home,16,0,16
talisman,14,0,14
stuff,14,0,14
powers,14,0,14
dylan,14,0,14
cromwell,14,0,14
gwen,12,0,12
children,12,0,12
calabar,11,0,11
mortal,10,0,10
human,10,0,10
huh,10,0,10
gotta,9,0,9
training,8,0,8
stroke,8,0,8
march,8,0,8
luke,8,0,8
hours,8,0,8
guys,8,0,8
guess,8,0,8
cromwells,8,0,8
weird,7,0,7
show,7,0,7
kind,7,0,7
chance,7,0,7
aggie,7,0,7
werewolf,6,0,6
vampires,6,0,6
trick,6,0,6
sweat,6,0,6
moaning,6,0,6
mm,6,0,6
mayor,6,0,6
hm,6,0,6
hi,6,0,6
guythur,6,0,6
grandmas,6,0,6
getting,6,0,6
fight,6,0,6
days,6,0,6
used,5,0,5
totally,5,0,5
somebodys,5,0,5
shell,5,0,5
pretty,5,0,5
party,5,0,5
monsters,5,0,5
harriet,5,0,5
gugaun,5,0,5
forever,5,0,5
dinner,5,0,5
candy,5,0,5
bid,5,0,5
attendant,5,0,5
anyway,5,0,5
vu,4,0,4
town,4,0,4
tonight,4,0,4
sweetheart,4,0,4
story,4,0,4
pretend,4,0,4
mommy,4,0,4
laughter,4,0,4
laughing,4,0,4
guy,4,0,4
force,4,0,4
dja,4,0,4
cledyfrutm,4,0,4
awesome,4,0,4
anoeth,4,0,4
witchs,3,0,3
whered,3,0,3
warlock,3,0,3
wanted,3,0,3
thinking,3,0,3
statues,3,0,3
soph,3,0,3
soapy,3,0,3
smart,3,0,3
roots,3,0,3
ringing,3,0,3
plus,3,0,3
neat,3,0,3
movies,3,0,3
mortals,3,0,3
marnies,3,0,3
kid,3,0,3
involved,3,0,3
installing,3,0,3
humming,3,0,3
humans,3,0,3
grammy,3,0,3
fellow,3,0,3
fang,3,0,3
especially,3,0,3
dream,3,0,3
decorations,3,0,3
creature,3,0,3
crazy,3,0,3
couldve,3,0,3
costume,3,0,3
caffeine,3,0,3
betty,3,0,3
aboard,3,0,3
worlds,2,0,2
wiener,2,0,2
whistles,2,0,2
vegetables,2,0,2
truth,2,0,2
treating,2,0,2
treat,2,0,2
trained,2,0,2
traditions,2,0,2
tradition,2,0,2
tomorrow,2,0,2
tires,2,0,2
th,2,0,2
sweetie,2,0,2
stronger,2,0,2
squawks,2,0,2
spore,2,0,2
someplace,2,0,2
snot,2,0,2
sleep,2,0,2
skeletons,2,0,2
shopping,2,0,2
shop,2,0,2
shoe,2,0,2
shelter,2,0,2
sell,2,0,2
river,2,0,2
ride,2,0,2
recipe,2,0,2
ran,2,0,2
raise,2,0,2
quick,2,0,2
punk,2,0,2
precious,2,0,2
power,2,0,2
poor,2,0,2
polite,2,0,2
pins,2,0,2
overlapping,2,0,2
ornament,2,0,2
nutcase,2,0,2
needles,2,0,2
nature,2,0,2
mothers,2,0,2
moms,2,0,2
missing,2,0,2
merlins,2,0,2
lucky,2,0,2
loved,2,0,2
local,2,0,2
lift,2,0,2
leftovers,2,0,2
king,2,0,2
jobs,2,0,2
iron,2,0,2
install,2,0,2
ingredients,2,0,2
hung,2,0,2
hoping,2,0,2
hoped,2,0,2
heart,2,0,2
handsome,2,0,2
grownup,2,0,2
future,2,0,2
fun,2,0,2
fill,2,0,2
fighting,2,0,2
eat,2,0,2
duh,2,0,2
dude,2,0,2
drat,2,0,2
downer,2,0,2
distract,2,0,2
disappeared,2,0,2
different,2,0,2
destroy,2,0,2
deal,2,0,2
date,2,0,2
darkness,2,0,2
dare,2,0,2
dangerous,2,0,2
cute,2,0,2
costumes,2,0,2
chowder,2,0,2
cheese,2,0,2
check,2,0,2
changed,2,0,2
celebrate,2,0,2
calling,2,0,2
buster,2,0,2
bubble,2,0,2
bone,2,0,2
benny,2,0,2
bag,2,0,2
anymore,2,0,2
altogether,2,0,2
age,2,0,2
agatha,2,0,2
admit,2,0,2
zip,1,0,1
zero,1,0,1
youth,1,0,1
yells,1,0,1
yee,1,0,1
wrap,1,0,1
worried,1,0,1
word,1,0,1
wor,1,0,1
wondering,1,0,1
wonderfully,1,0,1
wolfies,1,0,1
wolf,1,0,1
wished,1,0,1
winning,1,0,1
winner,1,0,1
windsweeper,1,0,1
williams,1,0,1
wild,1,0,1
wiccan,1,0,1
welsh,1,0,1
weirdo,1,0,1
weeks,1,0,1
wears,1,0,1
wastrel,1,0,1
waste,1,0,1
washed,1,0,1
warts,1,0,1
warlocks,1,0,1
wanna,1,0,1
volunteer,1,0,1
vivida,1,0,1
visits,1,0,1
visit,1,0,1
video,1,0,1
vi,1,0,1
verge,1,0,1
vastly,1,0,1
vanquished,1,0,1
vacation,1,0,1
using,1,0,1
urgent,1,0,1
urban,1,0,1
upsetting,1,0,1
upitidas,1,0,1
unibody,1,0,1
unfair,1,0,1
underworld,1,0,1
underestimate,1,0,1
uncovered,1,0,1
unchecked,1,0,1
ugliest,1,0,1
ugh,1,0,1
twice,1,0,1
twerp,1,0,1
troubles,1,0,1
troublemakers,1,0,1
trimmings,1,0,1
trees,1,0,1
treatment,1,0,1
transparent,1,0,1
toxic,1,0,1
tooth,1,0,1
tolling,1,0,1
toil,1,0,1
till,1,0,1
tie,1,0,1
tickets,1,0,1
thursday,1,0,1
threatens,1,0,1
third,1,0,1
thinning,1,0,1
thermostat,1,0,1
theirs,1,0,1
thee,1,0,1
theater,1,0,1
thatll,1,0,1
thatd,1,0,1
tend,1,0,1
technician,1,0,1
tantrum,1,0,1
taller,1,0,1
tackle,1,0,1
system,1,0,1
swimming,1,0,1
sweeping,1,0,1
sundae,1,0,1
sulfuric,1,0,1
suitcase,1,0,1
suit,1,0,1
suffice,1,0,1
suffer,1,0,1
success,1,0,1
styx,1,0,1
studies,1,0,1
stolen,1,0,1
stir,1,0,1
stinky,1,0,1
sticky,1,0,1
stereotypes,1,0,1
static,1,0,1
stars,1,0,1
stare,1,0,1
squishing,1,0,1
squawking,1,0,1
square,1,0,1
springer,1,0,1
spread,1,0,1
spook,1,0,1
split,1,0,1
spirits,1,0,1
spirit,1,0,1
spends,1,0,1
specifically,1,0,1
sounds,1,0,1
sounded,1,0,1
sorts,1,0,1
songs,1,0,1
song,1,0,1
somethings,1,0,1
snowman,1,0,1
snazzier,1,0,1
smelled,1,0,1
smell,1,0,1
smallest,1,0,1
slobbering,1,0,1
slimiest,1,0,1
skinner,1,0,1
sixth,1,0,1
sisters,1,0,1
signs,1,0,1
shrub,1,0,1
shrimp,1,0,1
showing,1,0,1
showed,1,0,1
settled,1,0,1
settle,1,0,1
sesame,1,0,1
seriously,1,0,1
send,1,0,1
scratch,1,0,1
scheduling,1,0,1
scary,1,0,1
scare,1,0,1
savory,1,0,1
sand,1,0,1
sance,1,0,1
salad,1,0,1
sake,1,0,1
sadie,1,0,1
ruler,1,0,1
ruled,1,0,1
rooms,1,0,1
rite,1,0,1
risks,1,0,1
rightfully,1,0,1
rhyme,1,0,1
rest,1,0,1
respect,1,0,1
resemblance,1,0,1
replacement,1,0,1
repelle,1,0,1
removes,1,0,1
removed,1,0,1
remembering,1,0,1
recruit,1,0,1
reclaim,1,0,1
reasons,1,0,1
razor,1,0,1
raunchiest,1,0,1
radio,1,0,1
rad,1,0,1
quod,1,0,1
queen,1,0,1
quarter,1,0,1
purpose,1,0,1
purple,1,0,1
pumpkins,1,0,1
pta,1,0,1
proves,1,0,1
protecting,1,0,1
protect,1,0,1
proper,1,0,1
promise,1,0,1
professionals,1,0,1
prince,1,0,1
pretending,1,0,1
prepare,1,0,1
precisely,1,0,1
practice,1,0,1
practically,1,0,1
potato,1,0,1
possibly,1,0,1
plastic,1,0,1
plans,1,0,1
pitched,1,0,1
pimple,1,0,1
picked,1,0,1
pick,1,0,1
personally,1,0,1
period,1,0,1
pentagram,1,0,1
peace,1,0,1
pat,1,0,1
passed,1,0,1
passage,1,0,1
pardon,1,0,1
panting,1,0,1
palm,1,0,1
overrated,1,0,1
overnight,1,0,1
original,1,0,1
omelets,1,0,1
offer,1,0,1
odor,1,0,1
odds,1,0,1
occur,1,0,1
obviously,1,0,1
obvious,1,0,1
obsessed,1,0,1
notebook,1,0,1
nos,1,0,1
nights,1,0,1
nicest,1,0,1
nicely,1,0,1
neighbors,1,0,1
neighbor,1,0,1
needed,1,0,1
natures,1,0,1
nameless,1,0,1
nada,1,0,1
nachos,1,0,1
myth,1,0,1
mysterious,1,0,1
musty,1,0,1
mushroom,1,0,1
museum,1,0,1
muffled,1,0,1
muffin,1,0,1
movie,1,0,1
moose,1,0,1
mood,1,0,1
monster,1,0,1
monkeys,1,0,1
mold,1,0,1
models,1,0,1
mode,1,0,1
mocking,1,0,1
mix,1,0,1
mistaken,1,0,1
missed,1,0,1
mirage,1,0,1
minivans,1,0,1
minimart,1,0,1
mile,1,0,1
microchip,1,0,1
message,1,0,1
merlin,1,0,1
merely,1,0,1
men,1,0,1
meetings,1,0,1
mayors,1,0,1
math,1,0,1
match,1,0,1
master,1,0,1
masks,1,0,1
mask,1,0,1
marrying,1,0,1
marry,1,0,1
marlie,1,0,1
magical,1,0,1
lunch,1,0,1
loud,1,0,1
loss,1,0,1
lon,1,0,1
lollypop,1,0,1
loki,1,0,1
logic,1,0,1
lodge,1,0,1
lives,1,0,1
listening,1,0,1
lincoln,1,0,1
limp,1,0,1
likes,1,0,1
legal,1,0,1
leftover,1,0,1
learn,1,0,1
league,1,0,1
la,1,0,1
kiss,1,0,1
killing,1,0,1
kiddin,1,0,1
kept,1,0,1
judge,1,0,1
jubentis,1,0,1
joe,1,0,1
jerry,1,0,1
jerk,1,0,1
jaded,1,0,1
interested,1,0,1
insanity,1,0,1
influence,1,0,1
impressionable,1,0,1
impetit,1,0,1
immune,1,0,1
imitation,1,0,1
imitated,1,0,1
imagination,1,0,1
ideas,1,0,1
ice,1,0,1
hypnotized,1,0,1
hubble,1,0,1
howls,1,0,1
howdy,1,0,1
hour,1,0,1
hot,1,0,1
horrible,1,0,1
honor,1,0,1
honey,1,0,1
homes,1,0,1
holiday,1,0,1
hips,1,0,1
hints,1,0,1
hinges,1,0,1
high,1,0,1
hieroglyphics,1,0,1
hiding,1,0,1
hid,1,0,1
hereditary,1,0,1
herb,1,0,1
helps,1,0,1
headache,1,0,1
haunts,1,0,1
hateful,1,0,1
handed,1,0,1
hallucinating,1,0,1
hairstyling,1,0,1
hades,1,0,1
gwens,1,0,1
gwendolyn,1,0,1
guts,1,0,1
gunther,1,0,1
gum,1,0,1
guggenheim,1,0,1
grunts,1,0,1
grounded,1,0,1
groaning,1,0,1
graveyards,1,0,1
grandmothers,1,0,1
grandmother,1,0,1
grandkids,1,0,1
goose,1,0,1
goodbye,1,0,1
goin,1,0,1
gnomes,1,0,1
gnome,1,0,1
glo,1,0,1
glad,1,0,1
gives,1,0,1
generations,1,0,1
gander,1,0,1
gah,1,0,1
fungus,1,0,1
fumes,1,0,1
frustrating,1,0,1
frozen,1,0,1
frightening,1,0,1
freezes,1,0,1
frankenstein,1,0,1
formula,1,0,1
forgot,1,0,1
forces,1,0,1
forced,1,0,1
fooled,1,0,1
folks,1,0,1
flowers,1,0,1
flights,1,0,1
fitness,1,0,1
fish,1,0,1
finishing,1,0,1
finish,1,0,1
fingertips,1,0,1
finds,1,0,1
filet,1,0,1
figure,1,0,1
fetch,1,0,1
feelings,1,0,1
feared,1,0,1
fare,1,0,1
fairy,1,0,1
failed,1,0,1
fabulous,1,0,1
eyeballs,1,0,1
extra,1,0,1
explore,1,0,1
expert,1,0,1
exotic,1,0,1
exist,1,0,1
exiled,1,0,1
exile,1,0,1
excuses,1,0,1
exciting,1,0,1
excited,1,0,1
excellent,1,0,1
everybodys,1,0,1
eureka,1,0,1
espresso,1,0,1
escape,1,0,1
english,1,0,1
engine,1,0,1
energy,1,0,1
energies,1,0,1
encyclopedia,1,0,1
encouragement,1,0,1
emergency,1,0,1
electricity,1,0,1
election,1,0,1
egyptian,1,0,1
eggs,1,0,1
educational,1,0,1
ear,1,0,1
dying,1,0,1
dybbuks,1,0,1
dryers,1,0,1
drop,1,0,1
drives,1,0,1
driver,1,0,1
drinking,1,0,1
dreadful,1,0,1
drawing,1,0,1
dragonfly,1,0,1
dozens,1,0,1
dow,1,0,1
doorknob,1,0,1
dollars,1,0,1
documentary,1,0,1
doctor,1,0,1
doc,1,0,1
district,1,0,1
disobey,1,0,1
disneylands,1,0,1
disease,1,0,1
discussion,1,0,1
discovered,1,0,1
directional,1,0,1
differently,1,0,1
dictu,1,0,1
details,1,0,1
detailing,1,0,1
destiny,1,0,1
depressed,1,0,1
demon,1,0,1
deluxe,1,0,1
delayed,1,0,1
degrees,1,0,1
degree,1,0,1
defies,1,0,1
dawn,1,0,1
dated,1,0,1
dank,1,0,1
daddy,1,0,1
curb,1,0,1
cupidinis,1,0,1
cs,1,0,1
cruise,1,0,1
cromwwell,1,0,1
croaking,1,0,1
crispy,1,0,1
create,1,0,1
cream,1,0,1
creaking,1,0,1
coven,1,0,1
count,1,0,1
copied,1,0,1
cookin,1,0,1
cookbook,1,0,1
controlled,1,0,1
contest,1,0,1
construction,1,0,1
conserve,1,0,1
consequences,1,0,1
conquering,1,0,1
conquer,1,0,1
confess,1,0,1
concentrate,1,0,1
completion,1,0,1
completely,1,0,1
compared,1,0,1
comedian,1,0,1
closing,1,0,1
clock,1,0,1
cleveland,1,0,1
clan,1,0,1
claims,1,0,1
citizens,1,0,1
ciente,1,0,1
chuckles,1,0,1
chrome,1,0,1
chose,1,0,1
choices,1,0,1
childhood,1,0,1
chickens,1,0,1
chez,1,0,1
charter,1,0,1
characters,1,0,1
character,1,0,1
chaney,1,0,1
certainly,1,0,1
cereal,1,0,1
cellar,1,0,1
cawing,1,0,1
cavities,1,0,1
cast,1,0,1
carpet,1,0,1
candle,1,0,1
cackles,1,0,1
cab,1,0,1
buses,1,0,1
bury,1,0,1
burning,1,0,1
bums,1,0,1
bs,1,0,1
brothers,1,0,1
bristles,1,0,1
bride,1,0,1
brave,1,0,1
brat,1,0,1
boyfriend,1,0,1
bowls,1,0,1
bowling,1,0,1
boss,1,0,1
borealis,1,0,1
bonehead,1,0,1
bogeyman,1,0,1
blade,1,0,1
bite,1,0,1
birthright,1,0,1
bikinis,1,0,1
benighted,1,0,1
bend,1,0,1
believing,1,0,1
beeping,1,0,1
bedtime,1,0,1
beds,1,0,1
beauty,1,0,1
beating,1,0,1
barking,1,0,1
bar,1,0,1
banshees,1,0,1
badgering,1,0,1
babysitter,1,0,1
awful,1,0,1
aware,1,0,1
aw,1,0,1
available,1,0,1
aurora,1,0,1
assume,1,0,1
arthurs,1,0,1
arthur,1,0,1
arrived,1,0,1
arms,1,0,1
arguing,1,0,1
argh,1,0,1
arbor,1,0,1
appreciates,1,0,1
apple,1,0,1
applause,1,0,1
apologize,1,0,1
annoys,1,0,1
animatronic,1,0,1
animal,1,0,1
ancient,1,0,1
alive,1,0,1
aleck,1,0,1
agua,1,0,1
aggies,1,0,1
ages,1,0,1
afterlife,1,0,1
acid,1,0,1
abracadabra,1,0,1
abominable,1,0,1
grandma,0,56,56
marnie,0,36,36
mom,0,31,31
sophie,0,20,20
ok,0,20,20
bus,0,20,20
bet,0,18,18
kids,0,17,17
halloweentown,0,17,17
home,0,16,16
talisman,0,14,14
stuff,0,14,14
powers,0,14,14
dylan,0,14,14
cromwell,0,14,14
gwen,0,12,12
children,0,12,12
calabar,0,11,11
mortal,0,10,10
human,0,10,10
huh,0,10,10
gotta,0,9,9
training,0,8,8
stroke,0,8,8
march,0,8,8
luke,0,8,8
hours,0,8,8
guys,0,8,8
guess,0,8,8
cromwells,0,8,8
weird,0,7,7
show,0,7,7
kind,0,7,7
chance,0,7,7
aggie,0,7,7
werewolf,0,6,6
vampires,0,6,6
trick,0,6,6
sweat,0,6,6
moaning,0,6,6
mm,0,6,6
mayor,0,6,6
hm,0,6,6
hi,0,6,6
guythur,0,6,6
grandmas,0,6,6
getting,0,6,6
fight,0,6,6
days,0,6,6
used,0,5,5
totally,0,5,5
somebodys,0,5,5
shell,0,5,5
pretty,0,5,5
party,0,5,5
monsters,0,5,5
harriet,0,5,5
gugaun,0,5,5
forever,0,5,5
dinner,0,5,5
candy,0,5,5
bid,0,5,5
attendant,0,5,5
anyway,0,5,5
vu,0,4,4
town,0,4,4
tonight,0,4,4
sweetheart,0,4,4
story,0,4,4
pretend,0,4,4
mommy,0,4,4
laughter,0,4,4
laughing,0,4,4
guy,0,4,4
force,0,4,4
dja,0,4,4
cledyfrutm,0,4,4
awesome,0,4,4
anoeth,0,4,4
witchs,0,3,3
whered,0,3,3
warlock,0,3,3
wanted,0,3,3
thinking,0,3,3
statues,0,3,3
soph,0,3,3
soapy,0,3,3
smart,0,3,3
roots,0,3,3
ringing,0,3,3
plus,0,3,3
neat,0,3,3
movies,0,3,3
mortals,0,3,3
marnies,0,3,3
kid,0,3,3
involved,0,3,3
installing,0,3,3
humming,0,3,3
humans,0,3,3
grammy,0,3,3
fellow,0,3,3
fang,0,3,3
especially,0,3,3
dream,0,3,3
decorations,0,3,3
creature,0,3,3
crazy,0,3,3
couldve,0,3,3
costume,0,3,3
caffeine,0,3,3
betty,0,3,3
aboard,0,3,3
worlds,0,2,2
wiener,0,2,2
whistles,0,2,2
vegetables,0,2,2
truth,0,2,2
treating,0,2,2
treat,0,2,2
trained,0,2,2
traditions,0,2,2
tradition,0,2,2
tomorrow,0,2,2
tires,0,2,2
th,0,2,2
sweetie,0,2,2
stronger,0,2,2
squawks,0,2,2
spore,0,2,2
someplace,0,2,2
snot,0,2,2
sleep,0,2,2
skeletons,0,2,2
shopping,0,2,2
shop,0,2,2
shoe,0,2,2
