word,The Blair Witch Project,Something Wicked This Way Comes,total
fifteen,1,0,1
fiddling,1,0,1
fends,1,0,1
female,1,0,1
fast,1,0,1
families,1,0,1
familiar,1,0,1
fallow,1,0,1
fallen,1,0,1
facing,1,0,1
extreme,1,0,1
expect,1,0,1
exists,1,0,1
exhausted,1,0,1
excellent,1,0,1
examine,1,0,1
evidence,1,0,1
everybodys,1,0,1
europe,1,0,1
etched,1,0,1
essential,1,0,1
eof,1,0,1
entranced,1,0,1
entrance,1,0,1
entitled,1,0,1
energy,1,0,1
ends,1,0,1
ending,1,0,1
encounter,1,0,1
eighteenth,1,0,1
ehh,1,0,1
edge,1,0,1
eating,1,0,1
easier,1,0,1
ear,1,0,1
eager,1,0,1
dry,1,0,1
drops,1,0,1
drives,1,0,1
drive,1,0,1
drinking,1,0,1
doorstep,1,0,1
door,1,0,1
dollars,1,0,1
dissapeard,1,0,1
disheveled,1,0,1
discovery,1,0,1
dirty,1,0,1
directors,1,0,1
directly,1,0,1
differently,1,0,1
destroyed,1,0,1
desecration,1,0,1
descends,1,0,1
depth,1,0,1
department,1,0,1
deny,1,0,1
deliverance,1,0,1
deeply,1,0,1
decoration,1,0,1
decay,1,0,1
dawn,1,0,1
darker,1,0,1
dangling,1,0,1
damned,1,0,1
curve,1,0,1
cult,1,0,1
crys,1,0,1
crumpled,1,0,1
crumbling,1,0,1
crudely,1,0,1
crouch,1,0,1
crossed,1,0,1
creepiest,1,0,1
creative,1,0,1
crawling,1,0,1
crack,1,0,1
covered,1,0,1
counts,1,0,1
coughs,1,0,1
corner,1,0,1
conversation,1,0,1
control,1,0,1
continue,1,0,1
confusion,1,0,1
confront,1,0,1
confessional,1,0,1
concerned,1,0,1
comprised,1,0,1
complete,1,0,1
complement,1,0,1
committed,1,0,1
comment,1,0,1
comfort,1,0,1
collapses,1,0,1
coincidence,1,0,1
clumps,1,0,1
clue,1,0,1
clothes,1,0,1
closely,1,0,1
climbs,1,0,1
clearing,1,0,1
clear,1,0,1
clamed,1,0,1
clacks,1,0,1
clacker,1,0,1
circling,1,0,1
chunk,1,0,1
chew,1,0,1
cheers,1,0,1
checking,1,0,1
checked,1,0,1
charts,1,0,1
channel,1,0,1
change,1,0,1
chair,1,0,1
ceremonial,1,0,1
cemeteries,1,0,1
cart,1,0,1
carrying,1,0,1
carries,1,0,1
canvas,1,0,1
calmer,1,0,1
cake,1,0,1
cackle,1,0,1
bust,1,0,1
burning,1,0,1
bunch,1,0,1
bump,1,0,1
bugs,1,0,1
brink,1,0,1
breathes,1,0,1
breathe,1,0,1
box,1,0,1
bordello,1,0,1
boooooooh,1,0,1
bolt,1,0,1
bolivia,1,0,1
body,1,0,1
bodied,1,0,1
bloodletting,1,0,1
bleed,1,0,1
bleating,1,0,1
bleached,1,0,1
bites,1,0,1
birthday,1,0,1
bends,1,0,1
belly,1,0,1
belive,1,0,1
beings,1,0,1
beginning,1,0,1
bathroom,1,0,1
bath,1,0,1
basement,1,0,1
bang,1,0,1
ballerina,1,0,1
backs,1,0,1
awww,1,0,1
autofocuses,1,0,1
attempting,1,0,1
attacks,1,0,1
attacking,1,0,1
asking,1,0,1
article,1,0,1
arm,1,0,1
arent,1,0,1
apparently,1,0,1
apologize,1,0,1
apart,1,0,1
anytime,1,0,1
anyones,1,0,1
anthem,1,0,1
angry,1,0,1
angrily,1,0,1
anger,1,0,1
ancient,1,0,1
amusing,1,0,1
amount,1,0,1
amazing,1,0,1
alrighty,1,0,1
aloud,1,0,1
allowance,1,0,1
agreed,1,0,1
agree,1,0,1
agitated,1,0,1
act,1,0,1
absurd,1,0,1
absolute,1,0,1
abandoned,1,0,1
heather,0,525,525
mike,0,331,331
josh,0,274,274
cuts,0,113,113
fucking,0,95,95
okay,0,77,77
camera,0,62,62
shit,0,52,52
map,0,44,44
fuck,0,39,39
tent,0,33,33
fisherman,0,23,23
car,0,21,21
woods,0,19,19
witch,0,19,19
begins,0,18,18
wanna,0,16,16
video,0,15,15
joshs,0,15,15
distance,0,15,15
blair,0,15,15
guys,0,14,14
whispers,0,13,13
scared,0,13,13
rock,0,13,13
laughs,0,13,13
