word,The Blair Witch Project,Macbeth,total
south,10,0,10
slate,10,0,10
mary,10,0,10
dat,10,0,10
cemetery,10,0,10
shooting,9,0,9
pack,9,0,9
getting,9,0,9
camp,9,0,9
story,8,0,8
seriously,8,0,8
points,8,0,8
mikes,8,0,8
knew,8,0,8
kinda,8,0,8
fucked,8,0,8
exactly,8,0,8
documentary,8,0,8
crying,8,0,8
check,8,0,8
believe,8,0,8
wasnt,7,0,7
useless,7,0,7
trail,7,0,7
stairs,7,0,7
shes,7,0,7
possible,7,0,7
outside,7,0,7
mumbles,7,0,7
kids,7,0,7
kidding,7,0,7
holding,7,0,7
crossing,7,0,7
crew,7,0,7
creek,7,0,7
christ,7,0,7
brown,7,0,7
yah,6,0,6
uh,6,0,6
tomorrow,6,0,6
tired,6,0,6
thank,6,0,6
small,6,0,6
sitting,6,0,6
project,6,0,6
muffled,6,0,6
mom,6,0,6
minutes,6,0,6
middle,6,0,6
hello,6,0,6
heathers,6,0,6
five,6,0
s
fine,6,0,6
deer,6,0,6
coffin,6,0,6
captain,6,0,6
youve,5,0,5
wheres,5,0,5
wet,5,0,5
walks,5,0,5
view,5,0,5
understand,5,0,5
twigs,5,0,5
turns,5,0,5
supposed,5,0,5
sticks,5,0,5
shots,5,0,5
river,5,0,5
playing,5,0,5
mikey,5,0,5
maybe,5,0,5
lot,5,0,5
later,5,0,5
hit,5,0,5
gear,5,0,5
games,5,0,5
film,5,0,5
east,5,0,5
dude,5,0,5
crazy,5,0,5
bullshit,5,0,5
bit,5,0,5
beer,5,0,5
bag,5,0,5
area,5,0,5
anymore,5,0,5
ah,5,0,5
werent,4,0,4
wanted,4,0,4
um,4,0,4
trying,4,0,4
town,4,0,4
totally,4,0,4
sobs,4,0,4
side,4,0,4
shoot,4,0,4
shhh,4,0,4
scene,4,0,4
running,4,0,4
relax,4,0,4
reading,4,0,4
pocket,4,0,4
piles,4,0,4
pants,4,0,4
pain,4,0,4
packed,4,0,4
meters,4,0,4
lights,4,0,4
kicked,4,0,4
insisted,4,0,4
important,4,0,4
id,4,0,4
hungry,4,0,4
hike,4,0,4
hey,4,0,4
havent,4,0,4
haunted,4,0,4
filming,4,0,4
fault,4,0,4
equipment,4,0,4
doesnt,4,0,4
cracking,4,0,4
continues,4,0,4
cellar,4,0,4
burkittsville,4,0,4
bundle,4,0,4
bodies,4,0,4
big,4,0,4
asshole,4,0,4
america,4,0,4
alright,4,0,4
years,3,0,3
writing,3,0,3
worth,3,0,3
whispered,3,0,3
walked,3,0,3
tries,3,0,3
took,3,0,3
telling,3,0,3
supposedly,3,0,3
store,3,0,3
stops,3,0,3
stopped,3,0,3
standing,3,0,3
somebody,3,0,3
smart,3,0,3
slime,3,0,3
sixteen,3,0,3
silence,3,0,3
shirt,3,0,3
shh,3,0,3
shawl,3,0,3
scotch,3,0,3
scary,3,0,3
rustling,3,0,3
run,3,0,3
reality,3,0,3
putting,3,0,3
pushes,3,0,3
potatoes,3,0,3
pile,3,0,3
picks,3,0,3
panting,3,0,3
packs,3,0,3
opening,3,0,3
nope,3,0,3
nice,3,0,3
movies,3,0,3
motivation,3,0,3
moans,3,0,3
mister,3,0,3
mashed,3,0,3
marys,3,0,3
maryland,3,0,3
louder,3,0,3
loosing,3,0,3
learned,3,0,3
hundred,3,0,3
holy,3,0,3
having,3,0,3
gloves,3,0,3
gasps,3,0,3
fur,3,0,3
funny,3,0,3
footage,3,0,3
fall,3,0,3
excited,3,0,3
ended,3,0,3
disappeared,3,0,3
diner,3,0,3
defiantly,3,0,3
creepy,3,0,3
couple,3,0,3
confronts,3,0,3
cigarette,3,0,3
chest,3,0,3
campsite,3,0,3
cameras,3,0,3
calm,3,0,3
called,3,0,3
breaks,3,0,3
bought,3,0,3
bottle,3,0,3
boots,3,0,3
bitch,3,0,3
babies,3,0,3
anybody,3,0,3
american,3,0,3
aint,3,0,3
actually,3,0,3
zooms,2,0,2
yo,2,0,2
yelling,2,0,2
yell,2,0,2
wow,2,0,2
wouldnt,2,0,2
witches,2,0,2
winter,2,0,2
whisper,2,0,2
whatd,2,0,2
wandered,2,0,2
walls,2,0,2
wall,2,0,2
various,2,0,2
using,2,0,2
unintelligible,2,0,2
uncool,2,0,2
tonight,2,0,2
throws,2,0,2
theyre,2,0,2
taping,2,0,2
table,2,0,2
sudden,2,0,2
streams,2,0,2
straight,2,0,2
statement,2,0,2
starts,2,0,2
souvenir,2,0,2
sounding,2,0,2
sounded,2,0,2
sorts,2,0,2
soon,2,0,2
smokes,2,0,2
sky,2,0,2
sings,2,0,2
sing,2,0,2
shows,2,0,2
shouldnt,2,0,2
shoes,2,0,2
shivers,2,0,2
shits,2,0,2
shifts,2,0,2
sets,2,0,2
seconds,2,0,2
screwed,2,0,2
scouted,2,0,2
schedule,2,0,2
save,2,0,2
salad,2,0,2
runs,2,0,2
row,2,0,2
room,2,0,2
rocking,2,0,2
road,2,0,2
rising,2,0,2
ripkin,2,0,2
rice,2,0,2
remain,2,0,2
redneck,2,0,2
record,2,0,2
rear,2,0,2
realize,2,0,2
real,2,0,2
reaching,2,0,2
ran,2,0,2
raisin,2,0,2
quite,2,0,2
punch,2,0,2
pumpkin,2,0,2
probably,2,0,2
prints,2,0,2
prepare,2,0,2
powerbar,2,0,2
possibly,2,0,2
positive,2,0,2
porch,2,0,2
plan,2,0,2
pie,2,0,2
period,2,0,2
parr,2,0,2
packing,2,0,2
opened,2,0,2
ohhh,2,0,2
obvious,2,0,2
notice,2,0,2
noises,2,0,2
naive,2,0,2
myth,2,0,2
mouse,2,0,2
mountain,2,0,2
motions,2,0,2
motel,2,0,2
moms,2,0,2
mirror,2,0,2
messing,2,0,2
meatball,2,0,2
lying,2,0,2
losing,2,0,2
listen,2,0,2
lens,2,0,2
leaves,2,0,2
learn,2,0,2
laughter,2,0,2
knocked,2,0,2
knees,2,0,2
kay,2,0,2
joshes,2,0,2
isnt,2,0,2
island,2,0,2
ieee,2,0,2
ice,2,0,2
hyperventilate,2,0,2
hunted,2,0,2
hot,2,0,2
hitting,2,0,2
hi,2,0,2
harry,2,0,2
hahaha,2,0,2
haha,2,0,2
haaa,2,0,2
guzzling,2,0,2
gray,2,0,2
grab,2,0,2
goddamn,2,0,2
gilligan,2,0,2
gets,2,0,2
gathering,2,0,2
fuckin,2,0,2
freaking,2,0,2
four,2,0,2
footsteps,2,0,2
following,2,0,2
flashlight,2,0,2
fingers,2,0,2
finally,2,0,2
fighting,2,0,2
field,2,0,2
feels,2,0,2
fat,2,0,2
fart,2,0,2
fact,2,0,2
explore,2,0,2
examines,2,0,2
embankment,2,0,2
eerie,2,0,2
edit,2,0,2
earshot,2,0,2
dunno,2,0,2
drop,2,0,2
driving,2,0,2
doubles,2,0,2
disgust,2,0,2
disappearing,2,0,2
direct,2,0,2
different,2,0,2
deal,2,0,2
dad,2,0,2
cross,2,0,2
crawl,2,0,2
cp,2,0,2
compared,2,0,2
community,2,0,2
comforts,2,0,2
closer,2,0,2
climb,2,0,2
cigarettes,2,0,2
chill,2,0,2
cheeseburger,2,0,2
cars,2,0,2
camping,2,0,2
cal,2,0,2
cackling,2,0,2
cabin,2,0,2
broke,2,0,2
breaking,2,0,2
branches,2,0,2
bottom,2,0,2
blurry,2,0,2
blank,2,0,2
bite,2,0,2
bible,2,0,2
betrayed,2,0,2
babbling,2,0,2
awe,2,0,2
asked,2,0,2
arrives,2,0,2
appears,2,0,2
ahh,2,0,2
ago,2,0,2
admit,2,0,2
absolutely,2,0,2
zoom,1,0,1
yup,1,0,1
yep,1,0,1
yelled,1,0,1
yeehaww,1,0,1
year,1,0,1
yawns,1,0,1
yards,1,0,1
writings,1,0,1
wright,1,0,1
wrest,1,0,1
wouldve,1,0,1
worry,1,0,1
working,1,0,1
wool,1,0,1
wont,1,0,1
wondered,1,0,1
woke,1,0,1
wives,1,0,1
wits,1,0,1
witchll,1,0,1
windshield,1,0,1
windows,1,0,1
wildly,1,0,1
whispering,1,0,1
weight,1,0,1
weekend,1,0,1
weeds,1,0,1
weed,1,0,1
wed,1,0,1
weaver,1,0,1
weasel,1,0,1
watching,1,0,1
warmer,1,0,1
warm,1,0,1
waken,1,0,1
waitress,1,0,1
waaaahooooo,1,0,1
waaaahhhoooo,1,0,1
vultures,1,0,1
vine,1,0,1
vienna,1,0,1
videotapes,1,0,1
vhs,1,0,1
vapor,1,0,1
utz,1,0,1
usually,1,0,1
uruguay,1,0,1
unzips,1,0,1
unzipped,1,0,1
unusually,1,0,1
unsnaged,1,0,1
unknown,1,0,1
unfolded,1,0,1
uncontrollable,1,0,1
uncomforted,1,0,1
uncomfortable,1,0,1
uhhms,1,0,1
twilights,1,0,1
twice,1,0,1
tv,1,0,1
turning,1,0,1
tumbling,1,0,1
trinkets,1,0,1
trick,1,0,1
traveling,1,0,1
trappers,1,0,1
trailer,1,0,1
track,1,0,1
touching,1,0,1
touched,1,0,1
total,1,0,1
tossed,1,0,1
toss,1,0,1
torso,1,0,1
torn,1,0,1
tore,1,0,1
toast,1,0,1
tightly,1,0,1
thrown,1,0,1
throwing,1,0,1
threatened,1,0,1
thinks,1,0,1
thinking,1,0,1
thin,1,0,1
thew,1,0,1
theme,1,0,1
terror,1,0,1
terrified,1,0,1
teeth,1,0,1
tastes,1,0,1
tapings,1,0,1
tape,1,0,1
tall,1,0,1
talking,1,0,1
takes,1,0,1
taken,1,0,1
system,1,0,1
symbols,1,0,1
swivels,1,0,1
swings,1,0,1
swig,1,0,1
swats,1,0,1
suppose,1,0,1
suns,1,0,1
sunday,1,0,1
stutters,1,0,1
stupid,1,0,1
student,1,0,1
struggling,1,0,1
struggles,1,0,1
struggle,1,0,1
structure,1,0,1
strips,1,0,1
strip,1,0,1
string,1,0,1
stress,1,0,1
street,1,0,1
strap,1,0,1
stories,1,0,1
stone,1,0,1
step,1,0,1
stench,1,0,1
state,1,0,1
started,1,0,1
staring,1,0,1
stacked,1,0,1
squatting,1,0,1
spuratic,1,0,1
spirited,1,0,1
spilled,1,0,1
speed,1,0,1
specifically,1,0,1
speaking,1,0,1
spacer,1,0,1
sorta,1,0,1
song,1,0,1
somthin,1,0,1
someones,1,0,1
solid,1,0,1
soft,1,0,1
sob,1,0,1
smoking,1,0,1
smallest,1,0,1
slowly,1,0,1
slippery,1,0,1
slightly,1,0,1
slide,1,0,1
skipper,1,0,1
sketch,1,0,1
sized,1,0,1
six,1,0,1
situation,1,0,1
site,1,0,1
sister,1,0,1
sides,1,0,1
shudders,1,0,1
shudder,1,0,1
shrinking,1,0,1
showing,1,0,1
shoves,1,0,1
shoulder,1,0,1
shortcuts,1,0,1
shopping,1,0,1
ship,1,0,1
shhhhh,1,0,1
sheriff,1,0,1
share,1,0,1
shanty,1,0,1
shack,1,0,1
setting,1,0,1
separate,1,0,1
selfish,1,0,1
seeing,1,0,1
searched,1,0,1
search,1,0,1
screaming,1,0,1
scratched,1,0,1
scientist,1,0,1
school,1,0,1
scheduled,1,0,1
scattered,1,0,1
sausage,1,0,1
satisfied,1,0,1
salt,1,0,1
rushed,1,0,1
ruined,1,0,1
rounds,1,0,1
roots,1,0,1
rolls,1,0,1
rolling,1,0,1
roll,1,0,1
robin,1,0,1
roasted,1,0,1
rests,1,0,1
responsible,1,0,1
resources,1,0,1
research,1,0,1
reply,1,0,1
removed,1,0,1
religious,1,0,1
relaxed,1,0,1
relatively,1,0,1
refereed,1,0,1
recall,1,0,1
reason,1,0,1
reaches,1,0,1
rationally,1,0,1
rambling,1,0,1
raining,1,0,1
quick,1,0,1
puts,1,0,1
pure,1,0,1
punctuality,1,0,1
punching,1,0,1
pulls,1,0,1
proud,1,0,1
protruding,1,0,1
properly,1,0,1
profusely,1,0,1
process,1,0,1
problem,1,0,1
pretend,1,0,1
preparing,1,0,1
prepared,1,0,1
precision,1,0,1
positively,1,0,1
portion,1,0,1
poring,1,0,1
pool,1,0,1
police,1,0,1
plops,1,0,1
pleasantly,1,0,1
plaster,1,0,1
planning,1,0,1
places,1,0,1
pitch,1,0,1
piss,1,0,1
pick,1,0,1
phew,1,0,1
persons,1,0,1
personally,1,0,1
permission,1,0,1
paw,1,0,1
patterns,1,0,1
passed,1,0,1
pass,1,0,1
party,1,0,1
parts,1,0,1
parked,1,0,1
paraguay,1,0,1
oww,1,0,1
overhmm,1,0,1
orgies,1,0,1
opportunity,1,0,1
omen,1,0,1
offence,1,0,1
october,1,0,1
oclock,1,0,1
occultic,1,0,1
occult,1,0,1
obviously,1,0,1
oatmeal,1,0,1
numerous,1,0,1
number,1,0,1
noticing,1,0,1
notebook,1,0,1
nostrils,1,0,1
nooo,1,0,1
nods,1,0,1
ninety,1,0,1
nervously,1,0,1
neighbors,1,0,1
necessary,1,0,1
nearby,1,0,1
national,1,0,1
nah,1,0,1
mystified,1,0,1
mustard,1,0,1
mucus,1,0,1
moving,1,0,1
mouths,1,0,1
mountiness,1,0,1
motives,1,0,1
moss,1,0,1
moooove,1,0,1
mmmm,1,0,1
misty,1,0,1
mists,1,0,1
missing,1,0,1
millimeter,1,0,1
mess,1,0,1
mending,1,0,1
melty,1,0,1
measure,1,0,1
max,1,0,1
marshmallows,1,0,1
marrrrshmelllowwwss,1,0,1
marked,1,0,1
marches,1,0,1
mamma,1,0,1
makeup,1,0,1
mag,1,0,1
lungs,1,0,1
lunatic,1,0,1
loudly,1,0,1
lots,1,0,1
looms,1,0,1
looked,1,0,1
logs,1,0,1
locations,1,0,1
locals,1,0,1
loaded,1,0,1
lit,1,0,1
lipstick,1,0,1
lifts,1,0,1
lift,1,0,1
licking,1,0,1
licked,1,0,1
level,1,0,1
lemme,1,0,1
legs,1,0,1
legends,1,0,1
legend,1,0,1
leans,1,0,1
laying,1,0,1
layers,1,0,1
laughed,1,0,1
large,1,0,1
killed,1,0,1
kept,1,0,1
jut,1,0,1
jumps,1,0,1
juice,1,0,1
joke,1,0,1
job,1,0,1
jitters,1,0,1
jiggles,1,0,1
jelly,1,0,1
jeans,1,0,1
jabbing,1,0,1
intestines,1,0,1
interesting,1,0,1
interested,1,0,1
intention,1,0,1
inspection,1,0,1
inscribed,1,0,1
ingrid,1,0,1
inflicted,1,0,1
indicated,1,0,1
indecipherable,1,0,1
incredibly,1,0,1
incidence,1,0,1
importance,1,0,1
imagine,1,0,1
illiterate,1,0,1
ignorance,1,0,1
iee,1,0,1
hysterically,1,0,1
hyperventilating,1,0,1
hushes,1,0,1
hurtin,1,0,1
hurrying,1,0,1
hurry,1,0,1
hunting,1,0,1
humorless,1,0,1
humanly,1,0,1
humanity,1,0,1
huh,1,0,1
huddling,1,0,1
hows,1,0,1
hoooo,1,0,1
hole,1,0,1
holds,1,0,1
hmm,1,0,1
history,1,0,1
historian,1,0,1
hilarious,1,0,1
hhuh,1,0,1
hermit,1,0,1
helps,1,0,1
helping,1,0,1
hedges,1,0,1
heavily,1,0,1
heaters,1,0,1
heartily,1,0,1
headstones,1,0,1
hasnt,1,0,1
hardly,1,0,1
harder,1,0,1
happening,1,0,1
happen,1,0,1
hanging,1,0,1
handful,1,0,1
halloween,1,0,1
hairy,1,0,1
hairs,1,0,1
guy,1,0,1
gutted,1,0,1
grunt,1,0,1
grocery,1,0,1
greek,1,0,1
gravel,1,0,1
grapple,1,0,1
grandmothers,1,0,1
gotten,1,0,1
goddamned,1,0,1
goat,1,0,1
gleaming,1,0,1
glass,1,0,1
glares,1,0,1
giving,1,0,1
girlfriend,1,0,1
gilligans,1,0,1
gigantic,1,0,1
fun,1,0,1
fully,1,0,1
fudge,1,0,1
fucker,1,0,1
fu,1,0,1
freezing,1,0,1
freaked,1,0,1
forward,1,0,1
forming,1,0,1
formation,1,0,1
forever,1,0,1
forearm,1,0,1
followed,1,0,1
follow,1,0,1
fogged,1,0,1
floor,1,0,1
flesh,1,0,1
flashlights,1,0,1
flap,1,0,1
flannel,1,0,1
flames,1,0,1
flails,1,0,1
flag,1,0,1
fixes,1,0,1
fishing,1,0,1
fishermen,1,0,1
finishing,1,0,1
finishes,1,0,1
finished,1,0,1
finely,1,0,1
final,1,0,1
filtered,1,0,1
filmmakers,1,0,1
f
fast,1,0,1
families,1,0
fifteen,1,0,1
fiddling,1,0,1
fends,1,0,1
female,1,0,1
favorite,1,0,1
families,1,0,1
fallow,1,0,1
fallen,1,0,1
facing,1,0,1
extreme,1,0,1
expect,1,0,1
exists,1,0,1
exhausted,1,0,1
excellent,1,0,1
examine,1,0,1
evidence,1,0,1
everybodys,1,0,1
europe,1,0,1
etched,1,0,1
essential,1,0,1
eof,1,0,1
entranced,1,0,1
entitled,1,0,1
energy,1,0,1
ends,1,0,1
ending,1,0,1
encounter,1,0,1
eighteenth,1,0,1
ehh,1,0,1
eh,1,0,1
eating,1,0,1
easier,1,0,1
eager,1,0,1
due,1,0,1
drops,1,0,1
drives,1,0,1
drive,1,0,1
drinking,1,0,1
doorstep,1,0,1
dollars,1,0,1
dissapeard,1,0,1
disheveled,1,0,1
dirty,1,0,1
directors,1,0,1
directly,1,0,1
differently,1,0,1
destroyed,1,0,1
desecration,1,0,1
descends,1,0,1
depth,1,0,1
department,1,0,1
deliverance,1,0,1
decoration,1,0,1
decay,1,0,1
dawn,1,0,1
darker,1,0,1
dangling,1,0,1
curve,1,0,1
cult,1,0,1
crys,1,0,1
crumpled,1,0,1
crumbling,1,0,1
crudely,1,0,1
crouch,1,0,1
crossed,1,0,1
creepiest,1,0,1
creative,1,0,1
crawling,1,0,1
crack,1,0,1
covered,1,0,1
counts,1,0,1
couldnt,1,0,1
coughs,1,0,1
corner,1,0,1
conversation,1,0,1
control,1,0,1
continue,1,0,1
confront,1,0,1
confessional,1,0,1
concerned,1,0,1
comprised,1,0,1
complete,1,0,1
complement,1,0,1
committed,1,0,1
comment,1,0,1
collapses,1,0,1
coincidence,1,0,1
clumps,1,0,1
clue,1,0,1
clothes,1,0,1
closely,1,0,1
climbs,1,0,1
clearing,1,0,1
clamed,1,0,1
clacks,1,0,1
clacker,1,0,1
circling,1,0,1
chunk,1,0,
charts,1,0,1
channel,1,0
checking,1,0,1
checked,1,0,1
charts,1,0,1
channel,1,0,1
change,1,0,1
chair,1,0,1
ceremonial,1,0,1
cemeteries,1,0,1
caught,1,0,1
cart,1,0,1
carrying,1,0,1
carries,1,0,1
careful,1,0,1
canvas,1,0,1
calmer,1,0,1
cake,1,0,1
cackle,1,0,1
bust,1,0,1
burning,1,0,1
bunch,1,0,1
bump,1,0,1
bugs,1,0,1
brink,1,0,1
breathes,1,0,1
breathe,1,0,1
brave,1,0,1
box,1,0,1
bordello,1,0,1
boooooooh,1,0,1
books,1,0,1
bolt,1,0,1
bolivia,1,0,1
bodied,1,0,1
blue,1,0,1
bloodletting,1,0,1
bleating,1,0,1
bleached,1,0,1
bites,1,0,1
birthday,1,0,1
bends,1,0,1
belly,1,0,1
belive,1,0,1
beings,1,0,1
beginning,1,0,1
bathroom,1,0,1
basement,1,0,1
bang,1,0,1
ballerina,1,0,1
backs,1,0,1
awww,1,0,1
autofocuses,1,0,1
attempting,1,0,1
attacks,1,0,1
attacking,1,0,1
asking,1,0,1
article,1,0,1
arent,1,0,1
apparently,1,0,1
apologize,1,0,1
anyway,1,0,1
anytime,1,0,1
anyones,1,0,1
anthem,1,0,1
angry,1,0,1
angrily,1,0,1
ancient,1,0,1
amusing,1,0,1
amount,1,0,1
amazing,1,0,1
alrighty,1,0,1
aloud,1,0,1
allowance,1,0,1
agreed,1,0,1
agree,1,0,1
agitated,1,0,1
absurd,1,0,1
abandoned,1,0,1
heather,0,525,525
mike,0,331,331
josh,0,274,274
cuts,0,113,113
im,0,109,109
fucking,0,95,95
okay,0,77,77
dont,0,68,68
camera,0,62,62
shit,0,52,52
map,0,44,44
ahead,0,41,41
fuck,0,39,39
yeah,0,33,33
tent,0,33,33
really,0,27,27
want,0,24,24
fisherman,0,23,23
car,0,21,21
w
woods,0,19,19
looking,0,18,18
begins,0,18
begins,0,18,18
wanna,0,16,16
weve,0,15,15
video,0,15,15
joshs,0,15,15
ive,0,15,15
